Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,55400,1,100,0.18,55200,56000,55100,4110981,228084192000,327947940878800,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,177000,1,2000,1.14,174800,180000,174500,1433414,254531702950,128856418605000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,335000,2,-3000,-0.89,337000,340500,334500,47845,16120086500,78390000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1069000,1,20000,1.91,1053000,1079000,1047000,25419,27173292000,76085006000000,71174000,STK
005380,KR7005380001,현대차,KOSPI,,187200,3,0,0.0,187500,188800,185500,261417,48930337450,39202710955200,209416191,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,834000,1,6000,0.72,850000,850000,813000,166150,137954116500,38014688274000,45581161,STK
068270,KR7068270008,셀트리온,KOSPI,,157500,1,100,0.06,157800,159500,156600,198580,31415735250,35163179572500,223258283,STK
000270,KR7000270009,기아,KOSPI,,87700,1,400,0.46,87700,88500,87000,275608,24193375850,34875889826400,397672632,STK
105560,KR7105560007,KB금융,KOSPI,,82300,2,-100,-0.12,82400,82600,81400,215421,17687312450,32387389212900,393528423,STK
329180,KR7329180004,HD현대중공업,KOSPI,,352000,2,-7500,-2.09,355500,358000,347000,193067,67856023250,31248136832000,88773116,STK
035420,KR7035420009,NAVER,KOSPI,,188100,1,600,0.32,189100,190800,187600,170391,32197192450,29802001204800,158437008,STK
055550,KR7055550008,신한지주,KOSPI,,48300,1,650,1.36,47650,48400,47650,518248,24917831700,24316409197500,503445325,STK
042660,KR7042660001,한화오션,KOSPI,,77100,2,-1300,-1.66,79200,79200,76600,968487,75006524000,23624472677400,306413394,STK
012330,KR7012330007,현대모비스,KOSPI,,242500,2,-1000,-0.41,244000,247000,242000,56505,13776238500,22551310295000,92995094,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,114800,1,300,0.26,114200,115500,114100,58999,6771275900,21195429060400,184629173,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,250000,2,-3000,-1.19,252500,255000,250000,77885,19608375750,20233238000000,80932952,STK
028260,KR7028260008,삼성물산,KOSPI,,113900,2,-500,-0.44,114700,115300,113600,49110,5611842250,19360328361600,169976544,STK
259960,KR7259960003,크래프톤,KOSPI,,382500,2,-3500,-0.91,386000,391000,382500,51851,20101851750,18325976242500,47911049,STK
035720,KR7035720002,카카오,KOSPI,,38800,2,-200,-0.51,39250,39350,38750,346055,13525551075,17222249120000,443872400,STK
086790,KR7086790003,하나금융지주,KOSPI,,59400,1,600,1.02,59100,59600,58900,175830,10418128650,17062108272000,287240880,STK
011200,KR7011200003,HMM,KOSPI,,18850,2,-500,-2.58,19380,19390,18810,1013789,19296334050,16607594499600,881039496,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,25900,2,-50,-0.19,26550,26600,25850,3833834,100495314075,16590533681400,640561146,STK
000810,KR7000810002,삼성화재,KOSPI,,350000,2,-2000,-0.57,352000,352500,348500,9870,3458667000,16581192950000,47374837,STK
015760,KR7015760002,한국전력,KOSPI,,25200,1,900,3.7,24450,25250,24350,2395770,60065252725,16177494740400,641964077,STK
032830,KR7032830002,삼성생명,KOSPI,,79500,2,-100,-0.13,79600,80300,79100,30377,2419051100,15900000000000,200000000,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,219500,2,-6500,-2.88,224500,227500,217500,113497,24997903750,15534698962000,70773116,STK
051910,KR7051910008,LG화학,KOSPI,,216500,2,-4000,-1.81,219500,222000,216000,79324,17342769750,15283242259500,70592343,STK
010130,KR7010130003,고려아연,KOSPI,,679000,3,0,0.0,680000,688000,675000,5310,3621008500,14057529157000,20703283,STK
096770,KR7096770003,SK이노베이션,KOSPI,,92500,2,-1100,-1.18,93600,94100,92500,117273,10909261000,13970716780000,151034776,STK
033780,KR7033780008,KT&G,KOSPI,,110000,1,400,0.36,109500,110300,109300,86636,9505312300,13426874670000,122062497,STK
316140,KR7316140003,우리금융지주,KOSPI,,16980,1,200,1.19,16780,17000,16760,988357,16738360590,12609203686980,742591501,STK
064350,KR7064350002,현대로템,KOSPI,,114000,2,-700,-0.61,118000,118000,111500,634398,72605016300,12442221402000,109142293,STK
030200,KR7030200000,KT,KOSPI,,49300,1,100,0.2,49600,49600,49200,69397,3430168950,12424669070500,252021685,STK
017670,KR7017670001,SK텔레콤,KOSPI,,57650,2,-50,-0.09,57700,57900,57600,70903,4094637700,12382646555450,214790053,STK
010140,KR7010140002,삼성중공업,KOSPI,,13945,2,-575,-3.96,14520,14530,13920,6723442,94559591120,12271600000000,880000000,STK
006400,KR7006400006,삼성SDI,KOSPI,,177300,2,-2700,-1.5,179000,180500,177200,106917,19074270750,12191951169000,68764530,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,332500,1,2000,0.61,329000,336500,319000,161749,52919998500,11985672387500,36047135,STK
024110,KR7024110009,기업은행,KOSPI,,14630,1,50,0.34,14590,14640,14580,177972,2601060125,11666340463470,797425869,STK
066570,KR7066570003,LG전자,KOSPI,,70000,2,-100,-0.14,70200,70800,69500,128075,9004219950,11455346980000,163647814,STK
402340,KR7402340004,SK스퀘어,KOSPI,,83300,1,900,1.09,82400,84500,81800,66828,5580348050,11124553064800,133548056,STK
323410,KR7323410001,카카오뱅크,KOSPI,,20950,2,-150,-0.71,21050,21200,20950,99006,2081540225,9992650070150,476976137,STK
003550,KR7003550001,LG,KOSPI,,62800,2,-400,-0.63,63200,63600,62500,25507,1607491200,9878502360400,157300993,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,125600,2,-1000,-0.79,126700,128300,125400,58211,7357767200,9729380432000,77463220,STK
352820,KR7352820005,하이브,KOSPI,,230750,1,250,0.11,233000,236000,230500,86987,20274433250,9611221382750,41652097,STK
000100,KR7000100008,유한양행,KOSPI,,115200,2,-200,-0.17,115800,117000,114900,140041,16224317150,9240084172800,80209064,STK
034730,KR7034730002,SK,KOSPI,,126100,1,900,0.72,124700,127800,124700,49789,6297860450,9142590848300,72502703,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,116700,1,300,0.26,116800,117500,116000,18385,2147556450,9029989260000,77377800,STK
009150,KR7009150004,삼성전기,KOSPI,,120300,2,-700,-0.58,120600,121600,120200,79017,9542436050,8985651628800,74693696,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,50900,2,-500,-0.97,51600,52100,50800,130755,6708096850,8954469909200,175922788,STK
086280,KR7086280005,현대글로비스,KOSPI,,114500,2,-3800,-3.21,118000,118000,114300,73722,8522381450,8587500000000,75000000,STK
326030,KR7326030004,SK바이오팜,KOSPI,,104300,2,-500,-0.48,104400,104900,103100,30069,3133840550,8168071975000,78313250,STK
047810,KR7047810007,한국항공우주,KOSPI,,80400,3,0,0.0,81100,83000,79800,485569,39451631300,7836998602800,97475107,STK
003490,KR7003490000,대한항공,KOSPI,,20400,2,-150,-0.73,20550,20650,20350,232991,4777027375,7511701484400,368220661,STK
042700,KR7042700005,한미반도체,KOSPI,,74800,1,1600,2.19,76100,77800,73900,1061288,79722082300,7226746573200,96614259,STK
272210,KR7272210006,한화시스템,KOSPI,,38150,2,-500,-1.29,39100,39250,37050,1403936,53434146575,7207274690350,188919389,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,159500,2,-12000,-7.0,170700,170700,159100,82142,13306981450,7150258995000,44829210,STK
003230,KR7003230000,삼양식품,KOSPI,,949000,2,-12000,-1.25,960000,965000,936000,16518,15717544000,7148831235000,7533015,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,115100,2,-300,-0.26,116300,116500,113800,100100,11515664050,6732516560900,58492759,STK
079550,KR7079550000,LIG넥스원,KOSPI,,289500,1,2000,0.7,290000,294000,285000,62241,18023640500,6369000000000,22000000,STK
005830,KR7005830005,DB손해보험,KOSPI,,85000,2,-200,-0.23,84700,85500,84700,28430,2418403450,6018000000000,70800000,STK
010950,KR7010950004,S-Oil,KOSPI,,52400,1,100,0.19,52500,52900,51800,51892,2719627950,5899338300800,112582792,STK
021240,KR7021240007,코웨이,KOSPI,,78400,1,1800,2.35,77200,79300,77100,34721,2728132800,5688997608000,72563745,STK
267250,KR7267250009,HD현대,KOSPI,,70400,2,-1200,-1.68,71500,71500,70400,41677,2951548500,5561113184000,78993085,STK
006800,KR7006800007,미래에셋증권,KOSPI,,9560,1,160,1.7,9440,9640,9390,216061,2061544670,5452224860480,570316408,STK
180640,KR7180640005,한진칼,KOSPI,,80500,3,0,0.0,79700,81000,79600,6304,506672400,5374363459500,66762279,STK
088980,KR7088980008,맥쿼리인프라,KOSPI,,11210,1,10,0.09,11210,11240,11200,238667,2678299410,5368715541530,478921993,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,176000,2,-3400,-1.9,180500,183800,171600,330301,58927426550,5280000000000,30000000,STK
010620,KR7010620003,HD현대미포,KOSPI,,129200,2,-5000,-3.73,131400,132000,126000,372315,47872180500,5160525650800,39942149,STK
064400,KR7064400005,LG씨엔에스,KOSPI,,52400,1,400,0.77,52000,52400,51800,129450,6749379650,5076823675200,96885948,STK
032640,KR7032640005,LG유플러스,KOSPI,,11420,1,110,0.97,11350,11480,11340,439054,5014379540,4986101742620,436611361,STK
051900,KR7051900009,LG생활건강,KOSPI,,317500,1,7000,2.25,311500,323000,309500,26737,8491868500,4958777547500,15618197,STK
000150,KR7000150003,두산,KOSPI,,296000,1,7500,2.6,292000,303500,289000,78305,23376854250,4891055160000,16523835,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,38650,2,-150,-0.39,38650,38950,38500,33213,1285468950,4787771416850,123875069,STK
029780,KR7029780004,삼성카드,KOSPI,,40650,1,50,0.12,40550,40750,40450,11325,460405675,4709663919150,115858891,STK
