Sector	Code	Name	ChagesRatio	Marcap	Amount	MACD
AI	304100	솔트룩스	12.59	4997	982	1. 상승 추세 / 추세 확대중
AI	402030	코난테크놀로지	10.25	3629	155	1. 상승 추세 / 추세 확대중
AI	096250	와이즈넛	2.84	2012	209	1. 상승 추세 / 추세 확대중
AI	108860	셀바스AI	2.78	3891	91	1. 상승 추세 / 추세 확대중
AI	377480	마음AI	1.79	1739	429	1. 상승 추세 / 추세 확대중
AI	039980	폴라리스AI	-1.02	2137	66	1. 상승 추세 / 추세 확대중
AI	389140	포바이포	-1.22	2233	747	2. 상승 추세 / 눌림목
AI	163280	에어레인	-1.65	1704	39	2. 상승 추세 / 눌림목
IT소프트웨어	294570	쿠콘	30.0	2517	235	1. 상승 추세 / 추세 확대중
IT소프트웨어	124500	아이티센글로벌	22.19	2819	109	1. 상승 추세 / 추세 확대중
IT소프트웨어	052400	코나아이	21.36	8257	2061	1. 상승 추세 / 추세 확대중
IT소프트웨어	088340	유라클	7.54	1205	1412	1. 상승 추세 / 추세 확대중
IT소프트웨어	053580	웹케시	7.3	2781	2111	1. 상승 추세 / 추세 확대중
IT소프트웨어	163730	핑거	6.5	1143	64	1. 상승 추세 / 추세 확대중
IT소프트웨어	035720	카카오	6.49	185739	817	1. 상승 추세 / 추세 확대중
IT소프트웨어	030520	한글과컴퓨터	5.1	6153	233	1. 상승 추세 / 추세 확대중
IT소프트웨어	094480	갤럭시아머니트리	3.77	3471	123	1. 상승 추세 / 추세 확대중
IT소프트웨어	205100	엑셈	3.71	1540	15	1. 상승 추세 / 추세 확대중
IT소프트웨어	377300	카카오페이	2.14	50577	77	2. 상승 추세 / 눌림목
IT소프트웨어	023590	다우기술	1.86	12136	37	1. 상승 추세 / 추세 확대중
IT소프트웨어	018260	삼성에스디에스	1.36	103686	64	2. 상승 추세 / 눌림목
IT소프트웨어	032190	다우데이타	1.23	6576	47	2. 상승 추세 / 눌림목
IT소프트웨어	158430	아톤	1.16	1470	14	1. 상승 추세 / 추세 확대중
IT소프트웨어	484870	엠앤씨솔루션	0.55	11597	36	2. 상승 추세 / 눌림목
IT소프트웨어	012750	에스원	0.0	26295	20	1. 상승 추세 / 추세 확대중
IT소프트웨어	041020	폴라리스오피스	0.0	2898	23	1. 상승 추세 / 추세 확대중
IT소프트웨어	047560	이스트소프트	-0.47	2469	48	1. 상승 추세 / 추세 확대중
IT소프트웨어	053300	한국정보인증	-0.64	2516	184	1. 상승 추세 / 추세 확대중
IT소프트웨어	257720	실리콘투	-0.97	31258	284	2. 상승 추세 / 눌림목
IT소프트웨어	300080	플리토	-1.5	1251	24	1. 상승 추세 / 추세 확대중
IT소프트웨어	472850	폰드그룹	-2.11	2878	17	2. 상승 추세 / 눌림목
IT소프트웨어	086960	MDS테크	-2.17	1437	770	2. 상승 추세 / 눌림목
IT소프트웨어	413640	비아이매트릭스	-3.88	1101	53	1. 상승 추세 / 추세 확대중
IT소프트웨어	011690	와이투솔루션	-8.97	1289	41	2. 상승 추세 / 눌림목
IT소프트웨어	377030	비트맥스	-9.51	1660	57	2. 상승 추세 / 눌림목
IT하드웨어/반도체	222800	심텍	17.87	5870	23	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	093520	매커스	16.68	2300	73	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	009150	삼성전기	8.46	90976	150	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	102120	어보브반도체	8.17	1952	18	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	058470	리노공업	8.14	33190	257	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	011070	LG이노텍	3.82	34127	57	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	000660	SK하이닉스	3.22	1607065	6315	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	218410	RFHIC	3.21	5760	78	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	353200	대덕전자	2.83	7511	12	1. 상승 추세 / 추세 확대중
