Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-06-03,168700,,,,,,,,N/A
2024-06-04,162900,,,,,,,,N/A
2024-06-05,161300,,,,,,,,N/A
2024-06-07,161700,,,,,,,,N/A
2024-06-10,157200,,,,,,,,N/A
2024-06-11,155500,,,,,,,,N/A
2024-06-12,170100,,,,,,,,N/A
2024-06-13,184100,,,,,,,,N/A
2024-06-14,184900,,,,,,,,N/A
2024-06-17,185900,,,,,,,,N/A
2024-06-18,188400,,,,,,,,N/A
2024-06-19,187100,176808.88406931885,,,,,,,N/A
2024-06-20,180000,177299.82498173133,,,,,,,N/A
2024-06-21,187000,178792.1595999265,,,,,,,N/A
2024-06-24,184100,179608.75043070703,,,,,,,N/A
2024-06-25,184500,180361.25036444442,,,,,,,N/A
2024-06-26,195200,182644.13492376066,,,,,,,N/A
2024-06-27,197800,184975.80647395132,,,,,,,N/A
2024-06-28,194600,186456.45163180496,,,,,,,N/A
2024-07-01,189100,186863.15138075803,,,,,,,N/A
2024-07-02,184100,186438.0511683337,,,,,,,N/A
2024-07-03,179000,185293.73560397467,,,,,,,N/A
2024-07-04,179500,184402.39166490163,,,,,,,N/A
2024-07-05,179600,183663.56217799368,,,,,,,N/A
2024-07-08,187800,184299.9372275331,,,,,,,N/A
2024-07-09,180400,183699.94688483572,180931.09333457585,2768.853550259868,,,,,N/A
2024-07-10,182500,183515.33967178408,181047.30864312578,2468.031028658297,,,2768.853550259868,,N/A
2024-07-11,176100,182374.5181838173,180680.84133622758,1693.676847589726,,,2468.031028658297,,N/A
2024-07-12,180200,182039.97692476847,180645.22345946997,1394.753465298505,,,1693.676847589726,,N/A
2024-07-15,178400,181479.9804748041,180478.91061062034,1001.0698641837516,,,1394.753465298505,,N/A
2024-07-16,175900,180621.52194021884,180139.7320468707,481.7898933481483,,,1001.0698641837516,,N/A
2024-07-17,178500,180295.13394941593,180018.27041376915,276.86353564678575,,,481.7898933481483,,N/A
2024-07-18,167800,178372.80564950578,179113.21334608254,-740.4076965767599,,,276.86353564678575,,N/A
2024-07-19,147700,173653.91247265873,176786.30865378014,-3132.3961811214103,170.0942660547463,-3302.4904471761565,-740.4076965767599,,N/A
2024-07-22,152900,170461.00286148046,175016.95245720385,-4555.9495957233885,-775.1145063008807,-3780.8350894225077,-3132.3961811214103,-3302.4904471761565,5. 하락추세 / 추세 확대중
2024-07-23,152000,167620.84857509885,173311.9930159295,-5691.144440830656,-1758.320493206836,-3932.82394762382,-4555.9495957233885,-3780.8350894225077,5. 하락추세 / 추세 확대중
2024-07-24,156500,165909.9487943144,172066.66019993473,-6156.711405620328,-2637.9986756895346,-3518.7127299307936,-5691.144440830656,-3932.82394762382,6. 하락추세 / 일시적 반등
2024-07-25,154100,164093.0335951891,170735.79648142104,-6642.76288623194,-3438.9515177980156,-3203.811368433924,-6156.711405620328,-3518.7127299307936,6. 하락추세 / 일시적 반등
2024-07-26,148700,161724.87458054462,169103.51526057505,-7378.640680030425,-4226.889350244498,-3151.751329785927,-6642.76288623194,-3203.811368433924,6. 하락추세 / 일시적 반등
2024-07-29,153900,160521.0477219993,167977.3289449769,-7456.281222977617,-4872.767724791122,-2583.513498186495,-7378.640680030425,-3151.751329785927,6. 하락추세 / 일시적 반등
2024-07-30,153900,159502.42499553785,166934.5638379416,-7432.138842403743,-5384.641948313647,-2047.4968940900962,-7456.281222977617,-2583.513498186495,6. 하락추세 / 일시적 반등
2024-07-31,154900,158794.35961160893,166043.11466476074,-7248.755053151806,-5757.464569281279,-1491.2904838705272,-7432.138842403743,-2047.4968940900962,6. 하락추세 / 일시적 반등
2024-08-01,154000,158056.76582520755,165151.0320970007,-7094.266271793138,-6024.8249097836515,-1069.4413620094865,-7248.755053151806,-1491.2904838705272,6. 하락추세 / 일시적 반등
2024-08-02,145800,156171.10954440638,163717.62231203768,-7546.512767631299,-6329.162481353182,-1217.350286278117,-7094.266271793138,-1069.4413620094865,5. 하락추세 / 추세 확대중
2024-08-05,129900,152129.40038372847,161212.61325188674,-9083.212868158269,-6879.972558714199,-2203.2403094440697,-7546.512767631299,-1217.350286278117,5. 하락추세 / 추세 확대중
