Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-06-03,15700,,,,,,,,N/A
2024-06-04,15500,,,,,,,,N/A
2024-06-05,15330,,,,,,,,N/A
2024-06-07,15430,,,,,,,,N/A
2024-06-10,15510,,,,,,,,N/A
2024-06-11,15620,,,,,,,,N/A
2024-06-12,15520,,,,,,,,N/A
2024-06-13,15620,,,,,,,,N/A
2024-06-14,15710,,,,,,,,N/A
2024-06-17,15760,,,,,,,,N/A
2024-06-18,15700,,,,,,,,N/A
2024-06-19,15460,15609.340237496886,,,,,,,N/A
2024-06-20,15430,15581.749431728134,,,,,,,N/A
2024-06-21,15360,15547.63413453919,,,,,,,N/A
2024-06-24,15300,15509.536575379314,,,,,,,N/A
2024-06-25,15290,15475.76171762865,,,,,,,N/A
2024-06-26,15200,15433.336837993473,,,,,,,N/A
2024-06-27,15110,15383.5927090714,,,,,,,N/A
2024-06-28,15030,15329.193830752723,,,,,,,N/A
2024-07-01,15000,15278.548626021535,,,,,,,N/A
2024-07-02,14760,15198.771914325915,,,,,,,N/A
2024-07-03,14450,15083.57623519885,,,,,,,N/A
2024-07-04,14390,14976.872199014411,,,,,,,N/A
2024-07-05,14270,14868.122629935271,,,,,,,N/A
2024-07-08,14190,14763.796071483692,,,,,,,N/A
2024-07-09,14120,14664.750522024662,15024.32222421992,-359.5717021952587,,,,,N/A
2024-07-10,14140,14584.019672482407,14958.816874277705,-374.79720179529795,,,-359.5717021952587,,N/A
2024-07-11,14100,14509.555107485114,14895.200809516393,-385.64570203127914,,,-374.79720179529795,,N/A
2024-07-12,14240,14468.085090948942,14846.667416218883,-378.58232526994107,,,-385.64570203127914,,N/A
2024-07-15,14250,14434.533538495258,14802.469829832298,-367.93629133704053,,,-378.58232526994107,,N/A
2024-07-16,14120,14386.143763342141,14751.91650910398,-365.77274576183845,,,-367.93629133704053,,N/A
2024-07-17,14010,14328.275492058734,14696.959730651834,-368.6842385930995,,,-365.77274576183845,,N/A
2024-07-18,13690,14230.079262511237,14622.37012097392,-392.2908584626821,,,-368.6842385930995,,N/A
2024-07-19,13380,14099.297837509508,14530.34270460548,-431.0448670959722,-384.8395312959949,-46.20533579997732,-392.2908584626821,,N/A
2024-07-22,13100,13945.55970866189,14424.391393153222,-478.83168449133154,-403.63796193506226,-75.19372255626928,-431.0448670959722,-46.20533579997732,5. 하락추세 / 추세 확대중
2024-07-23,12940,13790.8582150216,14314.436475141873,-523.5782601202718,-427.6260215721042,-95.9522385481676,-478.83168449133154,-75.19372255626928,5. 하락추세 / 추세 확대중
2024-07-24,12620,13610.726181941354,14188.922662168401,-578.1964802270468,-457.74011330309276,-120.45636692395402,-523.5782601202718,-95.9522385481676,5. 하락추세 / 추세 확대중
2024-07-25,12350,13416.76830779653,14052.706168674446,-635.9378608779152,-493.3796628180573,-142.55819805985794,-578.1964802270468,-120.45636692395402,5. 하락추세 / 추세 확대중
2024-07-26,12390,13258.80395275091,13929.542748772636,-670.7387960217256,-528.851489458791,-141.88730656293467,-635.9378608779152,-142.55819805985794,6. 하락추세 / 일시적 반등
2024-07-29,12780,13185.141806173846,13844.391434048737,-659.2496278748913,-554.9311171420111,-104.31851073288021,-670.7387960217256,-141.88730656293467,6. 하락추세 / 일시적 반등
2024-07-30,12470,13075.119989839408,13742.584661156237,-667.4646713168295,-577.4378279769747,-90.02684333985474,-659.2496278748913,-104.31851073288021,6. 하락추세 / 일시적 반등
