Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-06-03,130700,,,,,,,,N/A
2024-06-04,130300,,,,,,,,N/A
2024-06-05,127700,,,,,,,,N/A
2024-06-07,130800,,,,,,,,N/A
2024-06-10,131500,,,,,,,,N/A
2024-06-11,127500,,,,,,,,N/A
2024-06-12,134800,,,,,,,,N/A
2024-06-13,137700,,,,,,,,N/A
2024-06-14,131800,,,,,,,,N/A
2024-06-17,139300,,,,,,,,N/A
2024-06-18,137900,,,,,,,,N/A
2024-06-19,138800,134506.2766853574,,,,,,,N/A
2024-06-20,143800,135936.08027222552,,,,,,,N/A
2024-06-21,143800,137145.9140764985,,,,,,,N/A
2024-06-24,153600,139677.31191088335,,,,,,,N/A
2024-06-25,148900,141096.1870015167,,,,,,,N/A
2024-06-26,151800,142742.92746282183,,,,,,,N/A
2024-06-27,156200,144813.2463146954,,,,,,,N/A
2024-06-28,148800,145426.5930355115,,,,,,,N/A
2024-07-01,149000,145976.3479531251,,,,,,,N/A
2024-07-02,143700,145626.14057572125,,,,,,,N/A
2024-07-03,139700,144714.4266409949,,,,,,,N/A
2024-07-04,135800,143342.97638853415,,,,,,,N/A
2024-07-05,139200,142705.59540568275,,,,,,,N/A
2024-07-08,147700,143473.96534327,,,,,,,N/A
2024-07-09,149100,144339.50913661308,141447.33389051407,2892.17524609901,,,,,N/A
2024-07-10,150200,145241.1231155957,142095.67952825376,3145.443587341928,,,2892.17524609901,,N/A
2024-07-11,148200,145696.33494396557,142547.85141504978,3148.4835289157927,,,3145.443587341928,,N/A
2024-07-12,147800,146019.97572181703,142936.89945837943,3083.0762634376006,,,3148.4835289157927,,N/A
2024-07-15,150300,146678.44099538363,143482.31431331427,3196.1266820693563,,,3083.0762634376006,,N/A
2024-07-16,145800,146543.29622686308,143653.99473455024,2889.3014923128358,,,3196.1266820693563,,N/A
2024-07-17,143000,145998.1737304226,143605.5506801391,2392.623050283495,,,2889.3014923128358,,N/A
2024-07-18,143700,145644.6085411268,143612.54692605473,2032.0616150720743,,,2392.623050283495,,N/A
2024-07-19,141300,144976.20722710728,143441.24715375438,1534.9600733529078,2480.3484477060133,-945.3883743531055,2032.0616150720743,,N/A
2024-07-22,140400,144272.17534601386,143215.9695868096,1056.2057592042547,2195.5199100056616,-1139.3141508014069,1534.9600733529078,-945.3883743531055,9. 분류 미정
2024-07-23,144100,144245.6868312425,143281.45332112,964.233510122489,1949.2626300290272,-985.0291199065382,1056.2057592042547,-1139.3141508014069,2. 상승 추세 / 눌림목
2024-07-24,145000,144361.73501105135,143408.7530751111,952.9819359402463,1750.0064912112712,-797.0245552710248,964.233510122489,-985.0291199065382,2. 상승 추세 / 눌림목
2024-07-25,139700,143644.54500935113,143134.03062510287,510.51438424826483,1502.10806981867,-991.5936855704051,952.9819359402463,-797.0245552710248,9. 분류 미정
2024-07-26,133000,142006.9227002202,142383.36168991006,-376.4389896898647,1126.398657916963,-1502.8376476068277,510.51438424826483,-991.5936855704051,5. 하락추세 / 추세 확대중
2024-07-29,138400,141452.01151557095,142088.29786102782,-636.2863454568724,773.861657242196,-1410.1480026990685,-376.4389896898647,-1502.8376476068277,6. 하락추세 / 일시적 반등
2024-07-30,137000,140767.08666702156,141711.3869083591,-944.3002413375361,430.2292775262496,-1374.5295188637856,-636.2863454568724,-1410.1480026990685,6. 하락추세 / 일시적 반등
2024-07-31,134100,139741.38102594131,141147.58047070287,-1406.199444761558,62.94353306868806,-1469.142977830246,-944.3002413375361,-1374.5295188637856,5. 하락추세 / 추세 확대중
2024-08-01,148000,141011.93779118112,141655.16710250266,-643.2293113215419,-78.29103580935794,-564.938275512184,-1406.199444761558,-1469.142977830246,6. 하락추세 / 일시적 반등
2024-08-02,143200,141348.562746384,141769.59916898396,-421.03642259995104,-146.84011316747657,-274.19630943247444,-643.2293113215419,-564.938275512184,6. 하락추세 / 일시적 반등
2024-08-05,129900,139587.24540078646,140890.36960091107,-1303.1242001246137,-378.09693055890403,-925.0272695657097,-421.03642259995104,-274.19630943247444,5. 하락추세 / 추세 확대중
2024-08-06,145200,140450.74610835777,141209.60148232506,-758.8553739672934,-454.24861924058195,-304.6067547267115,-1303.1242001246137,-925.0272695657097,6. 하락추세 / 일시적 반등
2024-08-07,166900,144519.86209168733,143112.59396511578,1407.268126571551,-81.94527007815536,1489.2133966497063,-758.8553739672934,-304.6067547267115,1. 상승 추세 / 추세 확대중
2024-08-08,171700,148701.42176988928,145230.17959732944,3471.2421725598397,628.6922184494437,2842.549954110396,1407.268126571551,1489.2133966497063,1. 상승 추세 / 추세 확대중
2024-08-09,172000,152285.81842067555,147213.12925678652,5072.689163889037,1517.4916075373626,3555.197556351675,3471.2421725598397,2842.549954110396,1. 상승 추세 / 추세 확대중
2024-08-12,174600,155718.76943287931,149241.7863488764,6476.983084002917,2509.3899028304736,3967.5931811724436,5072.689163889037,3555.197556351675,1. 상승 추세 / 추세 확대중
2024-08-13,172300,158269.72798166712,150949.80217488555,7319.925806781568,3471.4970836206926,3848.4287231608755,6476.983084002917,3967.5931811724436,2. 상승 추세 / 눌림목
2024-08-14,184400,162289.76983064142,153427.59460637553,8862.175224265899,4549.632711749734,4312.542512516165,7319.925806781568,3848.4287231608755,1. 상승 추세 / 추세 확대중
2024-08-16,188100,166260.5744720812,155995.9209318292,10264.65354025201,5692.636877450189,4572.0166628018205,8862.175224265899,4312.542512516165,1. 상승 추세 / 추세 확대중
2024-08-19,181600,168620.48609176103,157892.51938132333,10727.9667104377,6699.7028440476915,4028.263866390009,10264.65354025201,4572.0166628018205,2. 상승 추세 / 눌림목
2024-08-20,184300,171032.71900072088,159848.62905678086,11184.089943940024,7596.580264026158,3587.5096799138655,10727.9667104377,4028.263866390009,2. 상승 추세 / 눌림목
2024-08-21,182000,172719.99300060997,161489.47134887116,11230.521651738818,8323.36854156869,2907.1531101701275,11184.089943940024,3587.5096799138655,2. 상승 추세 / 눌림목
2024-08-22,178600,173624.6094620546,162756.91791562145,10867.69154643314,8832.233142541581,2035.4584038915582,11230.521651738818,2907.1531101701275,2. 상승 추세 / 눌림목
2024-08-23,179000,174451.5926217385,163960.10918113097,10491.483440607524,9164.08320215477,1327.400238452754,10867.69154643314,2035.4584038915582,2. 상승 추세 / 눌림목
2024-08-26,172000,174074.42452608643,164555.65664919536,9518.76787689107,9235.02013710203,283.74773978903977,10491.483440607524,1327.400238452754,2. 상승 추세 / 눌림목
2024-08-27,174100,174078.35921438082,165262.64504555127,8815.714168829552,9151.158943447535,-335.44477461798306,9518.76787689107,283.74773978903977,9. 분류 미정
2024-08-28,173000,173912.45779678377,165835.7824495845,8076.675347199256,8936.26222419788,-859.5868769986246,8815.714168829552,-335.44477461798306,9. 분류 미정
2024-08-29,169500,173233.6181357401,166107.2059718375,7126.412163902598,8574.292212138824,-1447.8800482362258,8076.675347199256,-859.5868769986246,9. 분류 미정
2024-08-30,174500,173428.446114857,166728.89441836806,6699.551696488954,8199.34410900885,-1499.792412519897,7126.412163902598,-1447.8800482362258,9. 분류 미정
2024-09-02,175400,173731.7620971867,167371.19853552597,6360.563561660732,7831.587999539228,-1471.0244378784955,6699.551696488954,-1499.792412519897,2. 상승 추세 / 눌림목
2024-09-03,176400,174142.26023608106,168039.99864400554,6102.26159207552,7485.722718046487,-1383.4611259709673,6360.563561660732,-1471.0244378784955,2. 상승 추세 / 눌림목
2024-09-04,167700,173151.14327668396,168014.81355926438,5136.329717419576,7015.844117921105,-1879.514400501529,6102.26159207552,-1383.4611259709673,9. 분류 미정
2024-09-05,178000,173897.1212341172,168754.45699931888,5142.664234798314,6641.208141296547,-1498.543906498233,5136.329717419576,-1879.514400501529,2. 상승 추세 / 눌림목
2024-09-06,186600,175851.41027502224,170076.34907344342,5775.061201578821,6467.9787533530025,-692.9175517741814,5142.664234798314,-1498.543906498233,2. 상승 추세 / 눌림목
