Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-06-10,67400,,,,,,,,N/A
2024-06-11,68300,,,,,,,,N/A
2024-06-12,69200,,,,,,,,N/A
2024-06-13,66800,,,,,,,,N/A
2024-06-14,66000,,,,,,,,N/A
2024-06-17,65900,,,,,,,,N/A
2024-06-18,65100,,,,,,,,N/A
2024-06-19,65100,,,,,,,,N/A
2024-06-20,64400,,,,,,,,N/A
2024-06-21,63000,,,,,,,,N/A
2024-06-24,62200,,,,,,,,N/A
2024-06-25,62200,64735.712291846896,,,,,,,N/A
2024-06-26,61300,64207.1411700243,,,,,,,N/A
2024-06-27,61300,63759.88868232825,,,,,,,N/A
2024-06-28,62400,63550.67503889313,,,,,,,N/A
2024-07-01,62600,63404.41734060188,,,,,,,N/A
2024-07-02,61700,63142.19928820159,,,,,,,N/A
2024-07-03,60300,62704.937859247504,,,,,,,N/A
2024-07-04,59700,62242.63972705558,,,,,,,N/A
2024-07-05,60000,61897.61823058549,,,,,,,N/A
2024-07-08,59300,61497.98465664926,,,,,,,N/A
2024-07-09,59200,61144.4485556263,,,,,,,N/A
2024-07-10,59300,60860.6872393761,,,,,,,N/A
2024-07-11,59200,60605.1968948567,,,,,,,N/A
2024-07-12,60500,60589.01275718644,,,,,,,N/A
2024-07-15,60400,60559.93387146545,62204.39049683917,-1644.4566253737212,,,,,N/A
2024-07-16,58800,60289.174814316924,61952.21342299924,-1663.0386086823128,,,-1644.4566253737212,,N/A
2024-07-17,74000,62398.53253519124,62844.642058332625,-446.1095231413856,,,-1663.0386086823128,,N/A
2024-07-18,69600,63506.45060670028,63345.03894290058,161.41166379969945,,,-446.1095231413856,,N/A
2024-07-19,64000,63582.38128259255,63393.554576759794,188.82670583275467,,,161.41166379969945,,N/A
2024-07-22,64800,63769.707239116775,63497.73571922203,271.97151989474514,,,188.82670583275467,,N/A
2024-07-23,62700,63605.136894637275,63438.64418446484,166.49271017243154,,,271.97151989474514,,N/A
2024-07-24,63500,63588.96198777,63443.18905968967,145.77292808033235,,,166.49271017243154,,N/A
2024-07-25,62700,63452.19860503616,63388.13801823118,64.06058680498245,-257.6922269839026,321.752813788885,145.77292808033235,,N/A
2024-07-26,61000,63074.937281184444,63211.238905769605,-136.30162458516133,-233.41410650415435,97.11248191899301,64.06058680498245,321.752813788885,6. 하락추세 / 일시적 반등
2024-07-29,59000,62448.02385330992,62899.29528312,-451.27142981008365,-276.9855711653402,-174.28585864474343,-136.30162458516133,97.11248191899301,5. 하락추세 / 추세 확대중
2024-07-30,57000,61609.86633741608,62462.31044733334,-852.4441099172545,-392.0772789157231,-460.3668310015314,-451.27142981008365,-174.28585864474343,5. 하락추세 / 추세 확대중
2024-07-31,57600,60992.96382396745,62102.13930308642,-1109.175479118967,-535.4969189563719,-573.678560162595,-852.4441099172545,-460.3668310015314,5. 하락추세 / 추세 확대중
2024-08-01,57700,60486.35400489554,61776.0549102652,-1289.7009053696602,-686.3377162390296,-603.3631891306305,-1109.175479118967,-573.678560162595,5. 하락추세 / 추세 확대중
2024-08-02,55200,59673.06877337315,61288.939731727034,-1615.8709583538875,-872.2443646620013,-743.6265936918862,-1289.7009053696602,-603.3631891306305,5. 하락추세 / 추세 확대중
2024-08-05,48000,57877.212039008045,60304.57382567318,-2427.361786665133,-1183.2678490626276,-1244.0939376025053,-1615.8709583538875,-743.6265936918862,5. 하락추세 / 추세 확대중
2024-08-06,49700,56619.179417622196,59519.049838586274,-2899.870420964078,-1526.5883634429179,-1373.2820575211604,-2427.361786665133,-1244.0939376025053,5. 하락추세 / 추세 확대중
2024-08-07,50100,55616.228737988014,58821.342443135436,-3205.1137051474216,-1862.2934317838187,-1342.8202733636028,-2899.870420964078,-1373.2820575211604,6. 하락추세 / 일시적 반등
2024-08-08,49550,54682.96277829755,58134.57633623652,-3451.6135579389666,-2180.1574570148487,-1271.456100924118,-3205.1137051474216,-1342.8202733636028,6. 하락추세 / 일시적 반등
2024-08-09,49350,53862.50696625177,57483.866977996775,-3621.360011745004,-2468.39796796088,-1152.962043784124,-3451.6135579389666,-1271.456100924118,6. 하락추세 / 일시적 반등
2024-08-12,50500,53345.19820221304,56966.54349814516,-3621.345295932122,-2698.9874335551285,-922.3578623769936,-3621.360011745004,-1152.962043784124,6. 하락추세 / 일시적 반등
2024-08-13,50500,52907.47540187257,56487.54027606033,-3580.0648741877594,-2875.202921681655,-704.8619525061044,-3621.345295932122,-922.3578623769936,6. 하락추세 / 일시적 반등
2024-08-14,52800,52890.94072466141,56214.38914450031,-3323.4484198389036,-2964.852021313105,-358.5963985257986,-3580.0648741877594,-704.8619525061044,6. 하락추세 / 일시적 반등
2024-08-16,53400,52969.25753625196,56005.91587453732,-3036.658338285364,-2979.2132847075572,-57.4450535778069,-3323.4484198389036,-358.5963985257986,6. 하락추세 / 일시적 반등
2024-08-19,53700,53081.679453751654,55835.10729123826,-2753.4278374866044,-2934.056195263367,180.62835777676264,-3036.658338285364,-57.4450535778069,9. 분류 미정
2024-08-20,54100,53238.344153174476,55706.58082522061,-2468.236672046136,-2840.892290619921,372.655618573785,-2753.4278374866044,180.62835777676264,9. 분류 미정
2024-08-21,56200,53693.98351422456,55743.130393722786,-2049.1468794982284,-2682.5432083955825,633.3963288973541,-2468.236672046136,372.655618573785,9. 분류 미정
2024-08-22,57200,54233.370665882314,55851.04666085443,-1617.6759949721163,-2469.5697657108894,851.8937707387731,-2049.1468794982284,633.3963288973541,9. 분류 미정
2024-08-23,58000,54812.85210190042,56010.22838968003,-1197.3762877796107,-2215.131070124634,1017.7547823450232,-1617.6759949721163,851.8937707387731,9. 분류 미정
2024-08-26,58100,55318.56716314651,56165.026286740765,-846.4591235942571,-1941.3966808185587,1094.9375572243016,-1197.3762877796107,1017.7547823450232,9. 분류 미정
2024-08-27,59000,55884.94144573935,56375.02433957478,-490.0828938354316,-1651.1339234219333,1161.0510295865017,-846.4591235942571,1094.9375572243016,9. 분류 미정
2024-08-28,57900,56194.95045408714,56487.98549960628,-293.0350455191365,-1379.514147841374,1086.4791023222376,-490.0828938354316,1161.0510295865017,6. 하락추세 / 일시적 반등
2024-08-29,58000,56472.650384227585,56599.98657370952,-127.3361894819318,-1129.0785561694856,1001.7423666875538,-293.0350455191365,1086.4791023222376,6. 하락추세 / 일시적 반등
2024-08-30,58600,56799.934940500265,56748.1357163977,51.79922410256404,-892.9030001150758,944.7022242176398,-127.3361894819318,1001.7423666875538,4. 뚜렷한 추세 없음 / 눌림목
2024-09-02,58600,57076.86802657715,56885.31084851639,191.557178060757,-676.0109644799093,867.5681425406663,51.79922410256404,944.7022242176398,2. 상승 추세 / 눌림목
