Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-06-03,7730,,,,,,,,N/A
2024-06-04,7460,,,,,,,,N/A
2024-06-05,7350,,,,,,,,N/A
2024-06-07,7330,,,,,,,,N/A
2024-06-10,7680,,,,,,,,N/A
2024-06-11,7590,,,,,,,,N/A
2024-06-12,7980,,,,,,,,N/A
2024-06-13,8190,,,,,,,,N/A
2024-06-14,8050,,,,,,,,N/A
2024-06-17,8050,,,,,,,,N/A
2024-06-18,7960,,,,,,,,N/A
2024-06-19,8310,7919.926148776555,,,,,,,N/A
2024-06-20,8290,7976.860587426316,,,,,,,N/A
2024-06-21,8320,8029.651266283806,,,,,,,N/A
2024-06-24,8350,8078.935686855528,,,,,,,N/A
2024-06-25,8180,8094.484042723908,,,,,,,N/A
2024-06-26,8150,8103.0249592279215,,,,,,,N/A
2024-06-27,8190,8116.405734731318,,,,,,,N/A
2024-06-28,8000,8098.49716015727,,,,,,,N/A
2024-07-01,8080,8095.6514432099975,,,,,,,N/A
2024-07-02,8080,8093.243528869998,,,,,,,N/A
2024-07-03,7780,8045.052216736152,,,,,,,N/A
2024-07-04,7970,8033.505721853668,,,,,,,N/A
2024-07-05,7730,7986.81253387618,,,,,,,N/A
2024-07-08,7680,7939.610605587537,,,,,,,N/A
2024-07-09,7600,7887.362820112531,7910.927680849312,-23.564860736781156,,,,,N/A
2024-07-10,6850,7727.768540095219,7832.340445230845,-104.57190513562637,,,-23.564860736781156,,N/A
2024-07-11,6770,7580.4195339267235,7753.64856039893,-173.2290264722069,,,-104.57190513562637,,N/A
2024-07-12,6650,7437.278067168766,7671.896815184195,-234.61874801542854,,,-173.2290264722069,,N/A
2024-07-15,6730,7328.46605683511,7602.126680726106,-273.66062389099625,,,-234.61874801542854,,N/A
2024-07-16,6700,7231.77897116817,7535.302482153802,-303.52351098563213,,,-273.66062389099625,,N/A
2024-07-17,6540,7125.351437142298,7461.576372364631,-336.22493522233344,,,-303.52351098563213,,N/A
2024-07-18,6730,7064.528139120406,7407.385529967251,-342.8573908468452,,,-336.22493522233344,,N/A
2024-07-19,7410,7117.677656178806,7407.579194414122,-289.90153823531637,-242.17112316403032,-47.730415071286046,-342.8573908468452,,N/A
2024-07-22,7100,7114.958016766682,7384.795550383446,-269.83753361676463,-247.70440525457718,-22.13312836218745,-289.90153823531637,-47.730415071286046,6. 하락추세 / 일시적 반등
2024-07-23,6920,7084.964475725654,7350.366250355043,-265.40177462938937,-251.24387912953964,-14.15789549984973,-269.83753361676463,-22.13312836218745,6. 하락추세 / 일시적 반등
2024-07-24,6910,7058.0468640755535,7317.7465281065215,-259.69966403096805,-252.93503610982532,-6.764627921142733,-265.40177462938937,-14.15789549984973,6. 하락추세 / 일시적 반등
