Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-06-03,65600,,,,,,,,N/A
2024-06-04,64000,,,,,,,,N/A
2024-06-05,62700,,,,,,,,N/A
2024-06-07,63200,,,,,,,,N/A
2024-06-10,62700,,,,,,,,N/A
2024-06-11,61800,,,,,,,,N/A
2024-06-12,67200,,,,,,,,N/A
2024-06-13,68400,,,,,,,,N/A
2024-06-14,68000,,,,,,,,N/A
2024-06-17,66900,,,,,,,,N/A
2024-06-18,69900,,,,,,,,N/A
2024-06-19,68600,66720.10985408629,,,,,,,N/A
2024-06-20,67600,66855.47756884224,,,,,,,N/A
2024-06-21,67200,66908.48101978959,,,,,,,N/A
2024-06-24,67100,66937.9454782835,,,,,,,N/A
2024-06-25,66400,66855.18463547065,,,,,,,N/A
2024-06-26,68400,67092.84853770594,,,,,,,N/A
2024-06-27,73000,68001.64107036656,,,,,,,N/A
2024-06-28,71200,68493.69629031017,,,,,,,N/A
2024-07-01,67000,68263.89686103168,,,,,,,N/A
2024-07-02,63800,67577.14349779603,,,,,,,N/A
2024-07-03,61900,66703.73680582742,,,,,,,N/A
2024-07-04,62600,66072.39268185396,,,,,,,N/A
2024-07-05,62200,65476.63996156873,,,,,,,N/A
2024-07-08,61400,64849.464582865854,,,,,,,N/A
2024-07-09,61000,64257.239262424955,65311.149368114005,-1053.9101056890504,,,,,N/A
2024-07-10,64400,64279.20245282112,65243.656822327786,-964.4543695066677,,,-1053.9101056890504,,N/A
2024-07-11,61600,63867.017460079405,64973.756316970175,-1106.73885689077,,,-964.4543695066677,,N/A
2024-07-12,60900,63410.55323545181,64671.9965897872,-1261.4433543353953,,,-1106.73885689077,,N/A
2024-07-15,59700,62839.69889153614,64303.70054609926,-1464.0016545631152,,,-1261.4433543353953,,N/A
2024-07-16,58700,62202.822138992124,63888.61161675857,-1685.7894777664478,,,-1464.0016545631152,,N/A
2024-07-17,60300,61910.08027145488,63622.78853403572,-1712.7082625808398,,,-1685.7894777664478,,N/A
2024-07-18,59600,61554.68330661567,63324.80419818122,-1770.1208915655516,,,-1712.7082625808398,,N/A
