Sector,Ratio,MeanChange,NumPos,NumNeg
원자력,100.0,10.51,5,0
필수소비재,100.0,2.42,2,0
유통,88.24,4.06,15,2
보험,85.71,3.97,12,2
방위산업,84.62,5.57,11,2
유틸리티,84.62,3.15,11,2
증권,84.21,2.01,16,3
은행,83.33,3.35,5,1
게임,83.33,1.47,15,3
의류,80.0,3.73,20,5
지주회사,77.14,2.91,54,16
건설,72.73,2.98,24,9
화장품,72.41,3.28,21,8
바이오/제약/신약개발,71.03,4.09,103,42
운송/항공/물류,66.67,0.69,18,9
엔터테인먼트,64.52,1.47,20,11
조선/기계/중공업,63.41,4.06,26,15
전력기기,60.0,1.68,24,16
헬스케어,59.26,1.03,16,11
기타금융,55.17,0.18,16,13
유통/소매,52.0,-0.32,13,12
철강/비철금속,51.16,0.7,22,21
정유/화학/가스,50.82,-0.29,31,30
진단기기/의료기기,48.39,2.65,15,16
IT소프트웨어,48.35,1.05,44,47
디스플레이 장비,46.67,1.05,7,8
미디어,42.31,0.4,11,15
음식료,41.67,1.03,20,28
건자재,41.18,0.66,14,20
미용기기,40.0,-1.6,2,3
홈리빙/가구,37.5,-2.04,3,5
가전제품,37.5,-0.28,3,5
기타,36.36,0.09,4,7
반도체 장비,36.17,-0.38,17,30
통신,35.29,0.58,6,11
창업투자/VC,33.33,-1.72,5,10
IT하드웨어/반도체,32.26,-1.51,30,63
AI,31.82,-3.72,7,15
자동차 부품,27.27,-1.28,15,40
반도체 소재,25.0,-2.22,6,18
이차전지 소재,20.69,-3.71,6,23
이차전지 장비,20.0,-3.73,3,12
신재생에너지,16.67,-8.09,3,15
디스플레이 소재,11.11,-1.6,1,8
로봇,10.0,-4.38,2,18
자동차,0.0,-2.58,0,3
이차전지 배터리,0.0,-1.15,0,3
디스플레이 패널,0.0,-1.73,0,2
