Sector,Ratio,MeanChange,NumPos,NumNeg
원자력,100.0,11.63,5,0
신재생에너지,77.78,11.03,14,4
유틸리티,76.92,3.82,10,3
전력기기,75.0,6.22,30,10
은행,66.67,-0.08,4,2
기타,63.64,2.38,7,4
의류,56.0,-0.35,14,11
헬스케어,55.56,2.26,15,12
지주회사,54.29,1.32,38,32
조선/기계/중공업,53.66,3.34,22,19
유통,52.94,1.96,9,8
증권,52.63,0.38,10,9
가전제품,50.0,1.46,4,4
필수소비재,50.0,-0.66,1,1
보험,50.0,1.28,7,7
방위산업,46.15,0.82,6,7
화장품,44.83,0.15,13,16
진단기기/의료기기,41.94,-0.57,13,18
기타금융,41.38,1.18,12,17
정유/화학/가스,40.98,-1.36,25,36
바이오/제약/신약개발,40.0,0.38,58,87
미용기기,40.0,-2.25,2,3
게임,38.89,-2.34,7,11
미디어,38.46,-0.58,10,16
건설,36.36,-3.18,12,21
엔터테인먼트,35.48,1.18,11,20
반도체 소재,33.33,-0.93,8,16
음식료,33.33,-0.57,16,32
IT소프트웨어,32.97,-2.21,30,61
유통/소매,32.0,-1.76,8,17
자동차 부품,30.91,-4.3,17,38
로봇,30.0,1.77,6,14
운송/항공/물류,29.63,-0.72,8,19
AI,27.27,-6.26,6,16
창업투자/VC,26.67,-5.3,4,11
건자재,26.47,-1.56,9,25
홈리빙/가구,25.0,-4.54,2,6
철강/비철금속,23.26,-1.75,10,33
디스플레이 소재,22.22,-3.09,2,7
IT하드웨어/반도체,20.43,-4.08,19,74
통신,17.65,-4.46,3,14
이차전지 소재,13.79,-7.77,4,25
이차전지 장비,13.33,-4.52,2,13
반도체 장비,12.77,-3.9,6,41
디스플레이 장비,0.0,-5.86,0,15
이차전지 배터리,0.0,-7.35,0,3
자동차,0.0,-4.33,0,3
디스플레이 패널,0.0,-3.0,0,2
