Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,100.0,2.15,2,0
유틸리티,69.23,0.37,9,4
화장품,68.97,1.04,20,9
바이오/제약/신약개발,67.59,1.36,98,47
은행,66.67,0.62,4,2
게임,61.11,0.22,11,7
음식료,58.33,0.33,28,20
유통/소매,56.0,0.44,14,11
유통,52.94,0.91,9,8
지주회사,50.0,0.05,35,35
진단기기/의료기기,48.39,3.8,15,16
운송/항공/물류,48.15,0.22,13,14
헬스케어,44.44,0.24,12,15
미디어,42.31,-0.31,11,15
증권,42.11,-0.1,8,11
엔터테인먼트,41.94,0.0,13,18
홈리빙/가구,37.5,-1.22,3,5
기타,36.36,-0.53,4,7
의류,36.0,-0.37,9,16
보험,35.71,-0.19,5,9
방위산업,30.77,-1.07,4,9
IT소프트웨어,30.77,-0.83,28,63
건설,30.3,-0.45,10,23
정유/화학/가스,29.51,-0.9,18,43
기타금융,27.59,-0.41,8,21
전력기기,25.0,-1.06,10,30
철강/비철금속,23.26,-0.83,10,33
디스플레이 소재,22.22,-1.16,2,7
건자재,20.59,-0.5,7,27
미용기기,20.0,-0.71,1,4
창업투자/VC,20.0,-1.42,3,12
자동차 부품,14.55,-1.66,8,47
IT하드웨어/반도체,13.98,-1.54,13,80
AI,13.64,-3.49,3,19
이차전지 장비,13.33,-1.37,2,13
디스플레이 장비,13.33,-1.33,2,13
가전제품,12.5,-0.82,1,7
신재생에너지,11.11,-2.2,2,16
반도체 장비,10.64,-2.26,5,42
이차전지 소재,10.34,-2.32,3,26
반도체 소재,8.33,-2.15,2,22
조선/기계/중공업,7.32,-1.99,3,38
통신,5.88,-1.4,1,16
원자력,0.0,-1.84,0,5
로봇,0.0,-3.38,0,20
자동차,0.0,-1.87,0,3
이차전지 배터리,0.0,-1.73,0,3
디스플레이 패널,0.0,-0.59,0,2
