Sector,Ratio,MeanChange,NumPos,NumNeg
은행,71.43,2.55,5,2
증권,63.16,3.82,12,7
방위산업,58.33,47.98,7,5
조선/기계/중공업,58.14,49.18,25,18
음식료,57.69,13.86,30,22
전력기기,54.84,6.41,17,14
홈리빙/가구,53.85,8.14,7,6
화장품,53.33,29.11,16,14
창업투자/VC,46.67,31.78,7,8
통신,45.45,-1.57,10,12
지주회사,43.55,3.56,27,35
건설,43.24,16.69,16,21
IT소프트웨어,42.53,16.15,37,50
건자재,40.0,1.82,12,18
신재생에너지,40.0,8.51,8,12
미용기기,40.0,7.66,2,3
엔터테인먼트,40.0,8.04,12,18
철강/비철금속,39.13,2.62,18,28
자동차 부품,38.98,18.17,23,36
보험,38.46,-4.1,5,8
헬스케어,37.93,-4.55,11,18
바이오/제약/신약개발,37.84,12.47,56,92
기타금융,37.5,-4.23,12,20
의류,37.04,-2.17,10,17
유통,35.29,-6.5,6,11
게임,35.0,-7.28,7,13
유통/소매,29.17,-8.42,7,17
진단기기/의료기기,28.57,-9.92,8,20
기타,28.57,-9.12,4,10
운송/항공/물류,27.59,-7.35,8,21
유틸리티,26.67,0.02,4,11
필수소비재,25.0,-11.04,1,3
IT하드웨어/반도체,22.34,-21.99,21,73
정유/화학/가스,22.03,-11.92,13,46
AI,20.83,-7.28,5,19
이차전지 장비,17.65,-27.61,3,14
미디어,17.39,-7.43,4,19
이차전지 배터리,16.67,-21.0,1,5
반도체 장비,10.2,-27.38,5,44
가전제품,10.0,-19.32,1,9
디스플레이 장비,5.56,-28.82,1,17
반도체 소재,4.76,-31.64,1,20
자동차,0.0,-32.45,0,3
이차전지 소재,0.0,-47.98,0,28
원자력,0.0,-18.53,0,5
디스플레이 소재,0.0,-29.91,0,9
디스플레이 패널,0.0,-27.61,0,2
