Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,100.0,2.48,2,0
의류,62.5,0.24,15,9
바이오/제약/신약개발,60.67,1.38,91,59
진단기기/의료기기,59.38,2.75,19,13
게임,55.56,-0.26,10,8
헬스케어,55.17,-0.28,16,13
엔터테인먼트,53.12,0.34,17,15
유통,52.94,0.14,9,8
미디어,50.0,0.14,12,12
기타,50.0,-0.85,5,5
유틸리티,50.0,-0.05,6,6
지주회사,40.28,-0.36,29,43
원자력,40.0,2.92,2,3
화장품,39.29,0.41,11,17
기타금융,37.93,-0.32,11,18
가전제품,37.5,-1.05,3,5
음식료,35.42,0.01,17,31
디스플레이 패널,33.33,1.8,1,2
은행,33.33,-0.5,2,4
창업투자/VC,33.33,-1.92,5,10
이차전지 배터리,33.33,-0.81,1,2
운송/항공/물류,33.33,-0.4,9,18
증권,30.0,-0.66,6,14
이차전지 소재,26.92,-1.16,7,19
건자재,26.47,-1.04,9,25
IT소프트웨어,25.53,-1.26,24,70
정유/화학/가스,25.0,-1.1,15,45
미용기기,25.0,-0.99,1,3
방위산업,23.08,-1.58,3,10
통신,22.22,-1.61,4,14
디스플레이 소재,22.22,-1.54,2,7
보험,21.43,-1.05,3,11
이차전지 장비,20.0,-1.02,3,12
전력기기,20.0,-1.01,8,32
건설,20.0,-0.97,7,28
홈리빙/가구,20.0,-1.03,2,8
IT하드웨어/반도체,18.09,-1.78,17,77
철강/비철금속,16.28,-1.14,7,36
조선/기계/중공업,13.95,-1.89,6,37
신재생에너지,11.11,-4.08,2,16
자동차 부품,11.11,-2.02,6,48
반도체 장비,6.38,-2.97,3,44
디스플레이 장비,6.25,-1.17,1,15
AI,4.76,-3.59,1,20
반도체 소재,4.35,-2.58,1,22
로봇,0.0,-3.65,0,18
자동차,0.0,-2.18,0,3
