Sector,Ratio,MeanChange,NumPos,NumNeg
디스플레이 패널,100.0,5.08,2,0
자동차,100.0,3.41,3,0
전력기기,96.55,4.82,28,1
반도체 소재,95.45,6.04,21,1
신재생에너지,95.0,16.27,19,1
지주회사,88.33,4.98,53,7
IT하드웨어/반도체,88.3,5.82,83,11
반도체 장비,88.0,6.02,44,6
기타금융,87.5,1.25,28,4
의류,85.19,5.31,23,4
보험,84.62,2.66,11,2
홈리빙/가구,84.62,4.16,11,2
증권,84.21,5.33,16,3
원자력,83.33,5.57,5,1
화장품,83.33,5.28,25,5
자동차 부품,80.0,4.0,48,12
미용기기,80.0,11.71,4,1
기타,80.0,2.69,12,3
가전제품,80.0,4.44,8,2
이차전지 배터리,80.0,3.61,4,1
AI,79.17,6.46,19,5
진단기기/의료기기,78.57,1.56,22,6
건자재,76.67,2.0,23,7
헬스케어,75.86,4.75,22,7
조선/기계/중공업,74.42,3.2,32,11
디스플레이 장비,72.22,3.35,13,5
은행,70.0,0.02,7,3
유통/소매,69.57,0.03,16,7
IT소프트웨어,68.24,2.06,58,27
통신,68.18,1.5,15,7
유틸리티,66.67,2.68,10,5
디스플레이 소재,66.67,0.21,6,3
창업투자/VC,66.67,0.7,10,5
건설,64.86,-0.55,24,13
유통,64.71,3.12,11,6
운송/항공/물류,62.07,1.98,18,11
정유/화학/가스,62.07,0.96,36,22
바이오/제약/신약개발,61.74,2.2,92,57
이차전지 장비,58.82,0.32,10,7
음식료,55.77,0.63,29,23
게임,55.0,0.37,11,9
미디어,52.17,0.36,12,11
철강/비철금속,52.17,0.7,24,22
필수소비재,50.0,1.52,2,2
엔터테인먼트,50.0,0.63,15,15
방위산업,41.67,-0.73,5,7
이차전지 소재,41.38,-0.51,12,17
