Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,100.0,3.92,2,0
은행,83.33,2.43,5,1
방위산업,69.23,20.43,9,4
보험,64.29,10.11,9,5
통신,58.82,4.08,10,7
화장품,55.17,8.46,16,13
운송/항공/물류,51.85,9.51,14,13
로봇,50.0,15.29,10,10
IT소프트웨어,48.35,6.62,44,47
증권,47.37,-0.62,9,10
창업투자/VC,46.67,7.04,7,8
반도체 장비,40.43,1.19,19,28
미용기기,40.0,3.11,2,3
바이오/제약/신약개발,40.0,0.32,58,87
IT하드웨어/반도체,37.63,2.25,35,58
가전제품,37.5,10.7,3,5
음식료,37.5,-0.79,18,30
홈리빙/가구,37.5,0.87,3,5
전력기기,37.5,15.14,15,25
지주회사,35.71,-3.71,25,45
게임,33.33,-9.48,6,12
이차전지 배터리,33.33,-19.47,1,2
자동차,33.33,-2.19,1,2
진단기기/의료기기,32.26,-8.2,10,21
AI,31.82,-3.0,7,15
반도체 소재,29.17,-11.26,7,17
의류,28.0,-7.23,7,18
유통/소매,28.0,6.2,7,18
기타금융,27.59,-5.53,8,21
기타,27.27,-5.02,3,8
건자재,26.47,-7.76,9,25
건설,24.24,-6.24,8,25
미디어,23.08,-2.19,6,20
유틸리티,23.08,-2.99,3,10
엔터테인먼트,22.58,-3.77,7,24
디스플레이 소재,22.22,-20.05,2,7
헬스케어,22.22,-8.08,6,21
정유/화학/가스,21.31,-12.02,13,48
디스플레이 장비,20.0,-14.96,3,12
자동차 부품,20.0,-10.05,11,44
유통,17.65,-4.59,3,14
철강/비철금속,13.95,-13.55,6,37
이차전지 소재,10.34,-22.2,3,26
조선/기계/중공업,9.76,-16.15,4,37
이차전지 장비,6.67,-32.16,1,14
신재생에너지,5.56,-21.78,1,17
원자력,0.0,-12.75,0,5
디스플레이 패널,0.0,-13.73,0,2
