Sector,Ratio,MeanChange,NumPos,NumNeg
증권,89.47,1.98,17,2
보험,84.62,0.29,11,2
은행,80.0,0.72,8,2
엔터테인먼트,70.0,1.33,21,9
기타금융,59.38,0.07,19,13
원자력,50.0,-0.14,3,3
방위산업,50.0,-0.09,6,6
미디어,43.48,0.03,10,13
기타,40.0,-0.61,6,9
홈리빙/가구,38.46,-1.02,5,8
지주회사,38.33,-0.73,23,37
헬스케어,37.93,-0.59,11,18
건설,37.84,0.45,14,23
통신,36.36,-0.93,8,14
IT소프트웨어,35.29,-0.74,30,55
유통/소매,34.78,0.17,8,15
화장품,33.33,-0.35,10,20
자동차,33.33,-0.55,1,2
유틸리티,33.33,-0.28,5,10
가전제품,30.0,-0.78,3,7
바이오/제약/신약개발,29.53,-0.76,44,105
유통,29.41,-0.26,5,12
운송/항공/물류,27.59,-0.6,8,21
철강/비철금속,26.09,-1.14,12,34
의류,25.93,-0.89,7,20
게임,25.0,-0.31,5,15
필수소비재,25.0,-1.22,1,3
정유/화학/가스,24.14,-0.98,14,44
음식료,23.08,-0.74,12,40
자동차 부품,20.0,-1.33,12,48
미용기기,20.0,-2.43,1,4
전력기기,17.24,-1.74,5,24
건자재,16.67,-1.6,5,25
IT하드웨어/반도체,15.96,-1.73,15,79
신재생에너지,15.0,-2.34,3,17
진단기기/의료기기,14.29,-1.41,4,24
이차전지 소재,13.79,-2.25,4,25
반도체 소재,13.64,-1.24,3,19
이차전지 장비,11.76,-1.79,2,15
조선/기계/중공업,11.63,-1.36,5,38
창업투자/VC,6.67,-1.31,1,14
반도체 장비,6.0,-2.11,3,47
디스플레이 장비,5.56,-1.84,1,17
AI,0.0,-2.73,0,24
이차전지 배터리,0.0,-2.79,0,5
디스플레이 소재,0.0,-2.91,0,9
디스플레이 패널,0.0,-0.9,0,2
