Sector,Ratio,MeanChange,NumPos,NumNeg
디스플레이 패널,100.0,1.62,2,0
증권,100.0,22.6,19,0
방위산업,92.31,8.5,12,1
유틸리티,92.31,11.53,12,1
유통,88.24,10.91,15,2
지주회사,87.14,15.34,61,9
은행,83.33,7.27,5,1
기타금융,82.76,4.37,24,5
원자력,80.0,12.49,4,1
의류,80.0,12.91,20,5
보험,78.57,12.08,11,3
전력기기,72.5,7.59,29,11
조선/기계/중공업,70.73,9.36,29,12
통신,70.59,6.25,12,5
헬스케어,70.37,9.15,19,8
화장품,68.97,8.9,20,9
건설,66.67,5.8,22,11
미디어,65.38,4.2,17,9
유통/소매,64.0,1.79,16,9
운송/항공/물류,62.96,3.84,17,10
홈리빙/가구,62.5,-1.2,5,3
가전제품,62.5,6.5,5,3
바이오/제약/신약개발,62.07,5.75,90,55
신재생에너지,61.11,11.2,11,7
미용기기,60.0,2.82,3,2
음식료,58.33,2.71,28,20
진단기기/의료기기,54.84,4.46,17,14
기타,54.55,4.92,6,5
정유/화학/가스,54.1,1.97,33,28
IT소프트웨어,53.85,3.21,49,42
철강/비철금속,53.49,1.44,23,20
엔터테인먼트,51.61,6.81,16,15
건자재,50.0,2.58,17,17
필수소비재,50.0,1.08,1,1
게임,50.0,0.2,9,9
창업투자/VC,46.67,-4.7,7,8
자동차 부품,45.45,-0.19,25,30
IT하드웨어/반도체,44.09,-0.49,41,52
반도체 장비,42.55,1.14,20,27
이차전지 장비,40.0,2.31,6,9
로봇,40.0,4.01,8,12
반도체 소재,37.5,-0.84,9,15
디스플레이 소재,33.33,-1.97,3,6
AI,31.82,-4.65,7,15
디스플레이 장비,26.67,-3.21,4,11
이차전지 소재,13.79,-9.37,4,25
이차전지 배터리,0.0,-10.24,0,3
자동차,0.0,-2.36,0,3
