Sector,Ratio,MeanChange,NumPos,NumNeg
건자재,100.0,19.5,30,0
반도체 소재,100.0,19.04,22,0
신재생에너지,100.0,36.9,20,0
은행,100.0,20.53,10,0
보험,100.0,13.43,13,0
원자력,100.0,28.89,6,0
전력기기,100.0,27.32,29,0
AI,100.0,23.94,24,0
운송/항공/물류,100.0,13.09,29,0
방위산업,100.0,25.01,12,0
화장품,100.0,19.12,30,0
이차전지 배터리,100.0,10.85,5,0
미용기기,100.0,34.43,5,0
유틸리티,100.0,12.56,15,0
디스플레이 패널,100.0,16.66,2,0
가전제품,100.0,18.04,10,0
반도체 장비,98.0,17.3,49,1
조선/기계/중공업,97.67,22.61,42,1
IT하드웨어/반도체,96.81,17.97,91,3
지주회사,96.67,15.09,58,2
헬스케어,96.55,24.56,28,1
의류,96.3,15.08,26,1
증권,94.74,24.85,18,1
디스플레이 장비,94.44,21.35,17,1
유통,94.12,11.49,16,1
이차전지 장비,94.12,22.8,16,1
기타금융,93.75,9.53,30,2
엔터테인먼트,93.33,21.3,28,2
자동차 부품,93.33,12.54,56,4
기타,93.33,14.17,14,1
창업투자/VC,93.33,20.77,14,1
이차전지 소재,93.1,12.98,27,2
진단기기/의료기기,92.86,14.55,26,2
정유/화학/가스,89.66,13.51,52,6
IT소프트웨어,89.41,15.69,76,9
디스플레이 소재,88.89,17.54,8,1
음식료,88.46,9.79,46,6
미디어,86.96,27.99,20,3
게임,85.0,15.7,17,3
홈리빙/가구,84.62,10.93,11,2
바이오/제약/신약개발,84.56,13.82,126,23
건설,83.78,15.68,31,6
유통/소매,82.61,10.59,19,4
통신,81.82,15.67,18,4
철강/비철금속,78.26,6.87,36,10
필수소비재,75.0,9.71,3,1
자동차,66.67,5.85,2,1
