Sector,Ratio,MeanChange,NumPos,NumNeg
원자력,100.0,5.45,5,0
이차전지 배터리,100.0,6.52,3,0
증권,100.0,2.69,19,0
자동차,100.0,1.24,3,0
디스플레이 패널,100.0,3.98,2,0
디스플레이 소재,100.0,6.46,9,0
지주회사,91.43,2.76,64,6
건자재,91.18,3.0,31,3
통신,88.24,4.35,15,2
홈리빙/가구,87.5,3.02,7,1
반도체 소재,87.5,5.21,21,3
가전제품,87.5,2.37,7,1
디스플레이 장비,86.67,9.43,13,2
보험,85.71,1.54,12,2
정유/화학/가스,85.25,3.31,52,9
반도체 장비,85.11,7.7,40,7
유통/소매,84.0,2.28,21,4
은행,83.33,3.17,5,1
화장품,82.76,6.46,24,5
전력기기,82.5,11.93,33,7
건설,81.82,2.64,27,6
철강/비철금속,81.4,2.42,35,8
IT하드웨어/반도체,80.65,4.3,75,18
자동차 부품,80.0,3.33,44,11
신재생에너지,77.78,2.67,14,4
게임,77.78,1.32,14,4
유통,76.47,2.61,13,4
의류,76.0,1.68,19,6
기타금융,75.86,0.67,22,7
이차전지 소재,75.86,5.11,22,7
음식료,75.0,1.37,36,12
운송/항공/물류,74.07,1.36,20,7
이차전지 장비,73.33,2.11,11,4
미디어,73.08,1.26,19,7
기타,72.73,3.49,8,3
IT소프트웨어,71.43,3.18,65,26
조선/기계/중공업,68.29,1.66,28,13
헬스케어,66.67,1.29,18,9
유틸리티,61.54,0.09,8,5
진단기기/의료기기,61.29,1.45,19,12
바이오/제약/신약개발,60.69,1.39,88,57
로봇,55.0,0.51,11,9
필수소비재,50.0,8.67,1,1
AI,50.0,5.34,11,11
엔터테인먼트,45.16,-1.35,14,17
창업투자/VC,40.0,3.99,6,9
미용기기,40.0,3.61,2,3
방위산업,38.46,-1.88,5,8
