Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,100.0,1.94,2,0
원자력,100.0,51.0,5,0
미용기기,100.0,61.04,4,0
증권,100.0,44.46,20,0
은행,100.0,20.54,6,0
조선/기계/중공업,97.67,51.76,42,1
건설,94.29,25.81,33,2
방위산업,92.31,53.85,12,1
로봇,89.47,74.16,17,2
의류,87.5,28.79,21,3
가전제품,87.5,23.91,7,1
지주회사,86.67,35.56,65,10
화장품,85.71,32.74,24,4
신재생에너지,84.21,54.6,16,3
유틸리티,83.33,20.57,10,2
IT소프트웨어,82.98,43.68,78,16
유통,82.35,20.88,14,3
음식료,81.25,21.65,39,9
전력기기,80.0,32.42,32,8
헬스케어,79.31,25.48,23,6
기타금융,79.31,8.25,23,6
보험,78.57,18.07,11,3
IT하드웨어/반도체,77.89,24.26,74,21
통신,77.78,31.1,14,4
철강/비철금속,76.74,17.11,33,10
정유/화학/가스,76.67,18.12,46,14
AI,71.43,53.91,15,6
자동차 부품,70.91,17.05,39,16
홈리빙/가구,70.0,12.03,7,3
기타,70.0,14.02,7,3
디스플레이 장비,68.75,23.1,11,5
건자재,67.65,11.95,23,11
디스플레이 소재,66.67,11.41,6,3
디스플레이 패널,66.67,7.07,2,1
엔터테인먼트,65.62,31.35,21,11
창업투자/VC,60.0,33.34,9,6
바이오/제약/신약개발,58.0,16.09,87,63
진단기기/의료기기,56.25,10.72,18,14
이차전지 장비,53.33,9.26,8,7
미디어,52.0,6.16,13,12
운송/항공/물류,51.85,3.68,14,13
이차전지 배터리,33.33,-19.32,1,2
게임,27.78,-4.19,5,13
이차전지 소재,7.69,-25.14,2,24
자동차,0.0,-9.68,0,3
