Sector,Ratio,MeanChange,NumPos,NumNeg
미용기기,60.0,8.9,3,2
화장품,58.62,16.58,17,12
방위산업,53.85,11.59,7,6
기타금융,51.72,-2.3,15,14
홈리빙/가구,50.0,-1.91,4,4
은행,50.0,-3.7,3,3
전력기기,47.5,24.78,19,21
음식료,41.67,3.63,20,28
조선/기계/중공업,41.46,4.15,17,24
디스플레이 장비,40.0,-2.94,6,9
바이오/제약/신약개발,37.24,4.89,54,91
반도체 장비,34.04,-4.21,16,31
증권,31.58,-2.0,6,13
유틸리티,30.77,-0.29,4,9
보험,28.57,-0.97,4,10
창업투자/VC,26.67,52.92,4,11
정유/화학/가스,26.23,-14.18,16,45
건설,24.24,-10.74,8,25
건자재,23.53,-10.58,8,26
디스플레이 소재,22.22,-6.49,2,7
게임,22.22,-9.89,4,14
원자력,20.0,-21.42,1,4
의류,20.0,-14.44,5,20
철강/비철금속,18.6,-18.31,8,35
지주회사,18.57,-12.32,13,57
헬스케어,18.52,-15.65,5,22
운송/항공/물류,18.52,-13.84,5,22
기타,18.18,-12.44,2,9
AI,18.18,-16.6,4,18
유통,17.65,-12.59,3,14
이차전지 소재,17.24,-6.02,5,24
IT하드웨어/반도체,16.13,-21.96,15,78
자동차 부품,14.55,-11.6,8,47
이차전지 장비,13.33,-26.01,2,13
진단기기/의료기기,12.9,-12.92,4,27
가전제품,12.5,-16.13,1,7
IT소프트웨어,12.09,-16.21,11,80
신재생에너지,11.11,-21.92,2,16
반도체 소재,8.33,-17.12,2,22
유통/소매,8.0,-16.63,2,23
미디어,7.69,-21.85,2,24
엔터테인먼트,6.45,-25.47,2,29
통신,5.88,-23.46,1,16
로봇,0.0,-35.2,0,20
필수소비재,0.0,-5.18,0,2
자동차,0.0,-19.19,0,3
이차전지 배터리,0.0,-12.46,0,3
디스플레이 패널,0.0,-16.42,0,2
