Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,100.0,3.73,2,0
미용기기,100.0,54.9,5,0
증권,89.47,19.8,17,2
가전제품,87.5,14.65,7,1
은행,83.33,6.55,5,1
신재생에너지,83.33,55.61,15,3
조선/기계/중공업,82.93,40.29,34,7
화장품,82.76,27.86,24,5
로봇,80.0,53.0,16,4
원자력,80.0,23.14,4,1
방위산업,76.92,38.96,10,3
홈리빙/가구,75.0,13.2,6,2
전력기기,75.0,25.54,30,10
반도체 소재,75.0,12.57,18,6
헬스케어,74.07,24.32,20,7
AI,72.73,48.72,16,6
IT소프트웨어,72.53,25.6,66,25
의류,72.0,14.94,18,7
통신,70.59,11.82,12,5
건설,69.7,30.18,23,10
유통/소매,68.0,11.12,17,8
음식료,64.58,14.99,31,17
엔터테인먼트,64.52,24.43,20,11
지주회사,64.29,12.03,45,25
철강/비철금속,62.79,5.67,27,16
기타금융,62.07,3.04,18,11
IT하드웨어/반도체,60.22,11.65,56,37
정유/화학/가스,59.02,6.2,36,25
진단기기/의료기기,58.06,8.14,18,13
디스플레이 소재,55.56,4.47,5,4
기타,54.55,3.76,6,5
창업투자/VC,53.33,15.66,8,7
반도체 장비,53.19,9.19,25,22
유통,52.94,14.65,9,8
건자재,50.0,4.34,17,17
자동차 부품,49.09,21.57,27,28
바이오/제약/신약개발,47.59,16.32,69,76
디스플레이 장비,46.67,10.48,7,8
유틸리티,46.15,6.18,6,7
보험,42.86,3.42,6,8
미디어,42.31,4.54,11,15
게임,38.89,-4.24,7,11
운송/항공/물류,37.04,-2.15,10,17
이차전지 배터리,33.33,-23.15,1,2
이차전지 장비,26.67,-9.45,4,11
이차전지 소재,6.9,-32.12,2,27
디스플레이 패널,0.0,-11.32,0,2
자동차,0.0,-17.42,0,3
