Sector,Ratio,MeanChange,NumPos,NumNeg
반도체 장비,87.23,21.62,41,6
반도체 소재,83.33,12.28,20,4
미용기기,80.0,9.48,4,1
원자력,80.0,4.48,4,1
조선/기계/중공업,73.17,8.71,30,11
철강/비철금속,67.44,3.22,29,14
자동차 부품,67.27,4.12,37,18
자동차,66.67,-4.17,2,1
이차전지 장비,66.67,6.95,10,5
운송/항공/물류,62.96,5.63,17,10
신재생에너지,61.11,6.41,11,7
화장품,58.62,7.58,17,12
디스플레이 장비,53.33,5.08,8,7
전력기기,52.5,6.94,21,19
의류,52.0,2.39,13,12
홈리빙/가구,50.0,6.79,4,4
보험,50.0,0.23,7,7
필수소비재,50.0,1.44,1,1
지주회사,50.0,2.91,35,35
디스플레이 패널,50.0,-3.24,1,1
가전제품,50.0,1.21,4,4
정유/화학/가스,47.54,2.68,29,32
IT하드웨어/반도체,47.31,6.12,44,49
건설,45.45,-0.83,15,18
기타,45.45,-1.29,5,6
헬스케어,44.44,2.68,12,15
디스플레이 소재,44.44,2.54,4,5
통신,41.18,2.79,7,10
건자재,41.18,1.2,14,20
유틸리티,38.46,-1.81,5,8
미디어,38.46,-1.66,10,16
이차전지 소재,37.93,3.71,11,18
AI,36.36,2.18,8,14
엔터테인먼트,35.48,-7.44,11,20
진단기기/의료기기,35.48,2.45,11,20
유통,35.29,-0.43,6,11
은행,33.33,-3.82,2,4
창업투자/VC,33.33,-1.15,5,10
이차전지 배터리,33.33,-1.27,1,2
증권,31.58,-1.57,6,13
기타금융,31.03,-2.07,9,20
IT소프트웨어,30.77,1.31,28,63
음식료,29.17,-2.52,14,34
유통/소매,24.0,-2.23,6,19
방위산업,23.08,-2.94,3,10
바이오/제약/신약개발,17.24,-6.37,25,120
게임,16.67,-7.62,3,15
로봇,15.0,-5.13,3,17
