Sector,Ratio,MeanChange,NumPos,NumNeg
디스플레이 패널,100.0,4.81,2,0
게임,88.89,5.37,16,2
미용기기,80.0,4.01,4,1
의류,72.0,3.07,18,7
운송/항공/물류,70.37,2.93,19,8
헬스케어,70.37,4.51,19,8
건설,69.7,0.97,23,10
음식료,68.75,0.64,33,15
홈리빙/가구,62.5,2.09,5,3
유틸리티,61.54,1.24,8,5
로봇,60.0,3.63,12,8
자동차 부품,60.0,1.91,33,22
유통/소매,60.0,0.07,15,10
정유/화학/가스,59.02,1.79,36,25
유통,58.82,2.11,10,7
기타금융,58.62,-0.62,17,12
지주회사,58.57,1.17,41,29
미디어,57.69,2.37,15,11
바이오/제약/신약개발,54.48,0.57,79,66
통신,52.94,1.14,9,8
IT소프트웨어,52.75,0.91,48,43
증권,52.63,0.79,10,9
화장품,51.72,1.21,15,14
엔터테인먼트,51.61,1.05,16,15
AI,50.0,4.41,11,11
필수소비재,50.0,1.09,1,1
가전제품,50.0,-2.19,4,4
건자재,50.0,-0.02,17,17
조선/기계/중공업,48.78,-0.85,20,21
창업투자/VC,46.67,0.91,7,8
디스플레이 장비,46.67,-0.79,7,8
철강/비철금속,46.51,0.73,20,23
IT하드웨어/반도체,46.24,-0.36,43,50
기타,45.45,0.23,5,6
전력기기,45.0,-0.46,18,22
보험,42.86,1.63,6,8
진단기기/의료기기,38.71,-0.07,12,19
방위산업,38.46,0.32,5,8
반도체 장비,36.17,-0.53,17,30
반도체 소재,29.17,-1.42,7,17
신재생에너지,22.22,-3.3,4,14
디스플레이 소재,22.22,-2.16,2,7
이차전지 소재,20.69,-3.61,6,23
은행,16.67,-3.68,1,5
이차전지 장비,13.33,-5.06,2,13
원자력,0.0,-2.21,0,5
자동차,0.0,-5.85,0,3
이차전지 배터리,0.0,-4.67,0,3
