Sector,Ratio,MeanChange,NumPos,NumNeg
이차전지 배터리,100.0,28.72,3,0
자동차,100.0,6.4,3,0
디스플레이 장비,93.33,41.34,14,1
디스플레이 소재,88.89,36.14,8,1
은행,83.33,29.53,5,1
원자력,80.0,39.2,4,1
반도체 소재,79.17,31.71,19,5
반도체 장비,78.72,32.12,37,10
화장품,75.86,26.37,22,7
이차전지 소재,75.86,109.98,22,7
게임,72.22,11.81,13,5
지주회사,71.43,15.16,50,20
자동차 부품,69.09,15.02,38,17
건자재,67.65,9.12,23,11
이차전지 장비,66.67,22.19,10,5
헬스케어,66.67,29.85,18,9
IT하드웨어/반도체,64.52,15.74,60,33
엔터테인먼트,64.52,19.66,20,11
보험,64.29,8.09,9,5
운송/항공/물류,62.96,20.77,17,10
철강/비철금속,62.79,28.03,27,16
전력기기,62.5,11.61,25,15
가전제품,62.5,12.2,5,3
방위산업,61.54,22.08,8,5
미용기기,60.0,85.58,3,2
로봇,60.0,57.98,12,8
IT소프트웨어,59.34,26.72,54,37
AI,59.09,99.96,13,9
조선/기계/중공업,58.54,8.8,24,17
정유/화학/가스,57.38,9.02,35,26
진단기기/의료기기,54.84,16.0,17,14
디스플레이 패널,50.0,5.5,1,1
의류,48.0,2.71,12,13
유통,47.06,6.12,8,9
미디어,42.31,0.39,11,15
증권,42.11,1.51,8,11
음식료,41.67,3.68,20,28
통신,41.18,3.84,7,10
건설,39.39,1.04,13,20
바이오/제약/신약개발,39.31,5.11,57,88
신재생에너지,38.89,5.75,7,11
홈리빙/가구,37.5,0.15,3,5
기타,36.36,-5.3,4,7
유통/소매,36.0,-2.49,9,16
창업투자/VC,33.33,12.32,5,10
기타금융,24.14,-2.36,7,22
유틸리티,23.08,-1.78,3,10
필수소비재,0.0,-4.16,0,2
