Sector,Ratio,MeanChange,NumPos,NumNeg
기타,100.0,4.49,10,0
미용기기,100.0,3.1,4,0
가전제품,100.0,3.41,8,0
자동차,100.0,2.35,3,0
은행,100.0,4.05,6,0
보험,100.0,10.83,14,0
증권,100.0,14.18,20,0
이차전지 배터리,100.0,0.81,3,0
의류,95.83,6.35,23,1
음식료,95.83,4.59,46,2
신재생에너지,94.74,10.56,18,1
지주회사,94.67,11.59,71,4
통신,94.44,7.51,17,1
건자재,94.12,5.33,32,2
홈리빙/가구,90.0,4.21,9,1
로봇,89.47,5.77,17,2
유통,88.24,3.53,15,2
엔터테인먼트,87.5,5.13,28,4
전력기기,87.5,3.95,35,5
정유/화학/가스,86.67,4.67,52,8
건설,85.71,4.63,30,5
운송/항공/물류,85.19,2.47,23,4
이차전지 소재,84.62,4.17,22,4
IT소프트웨어,84.04,7.5,79,15
게임,83.33,4.37,15,3
화장품,82.14,3.06,23,5
철강/비철금속,81.4,3.68,35,8
디스플레이 장비,81.25,3.11,13,3
IT하드웨어/반도체,81.05,3.93,77,18
기타금융,79.31,1.99,23,6
헬스케어,79.31,2.41,23,6
조선/기계/중공업,79.07,3.56,34,9
자동차 부품,76.36,2.71,42,13
유틸리티,75.0,3.59,9,3
창업투자/VC,73.33,9.17,11,4
이차전지 장비,73.33,3.81,11,4
미디어,72.0,2.13,18,7
AI,66.67,8.59,14,7
방위산업,61.54,2.92,8,5
바이오/제약/신약개발,61.33,0.47,92,58
원자력,60.0,8.43,3,2
진단기기/의료기기,59.38,0.43,19,13
디스플레이 소재,55.56,2.67,5,4
필수소비재,50.0,0.37,1,1
디스플레이 패널,33.33,-1.96,1,2
