Sector,Ratio,MeanChange,NumPos,NumNeg
진단기기/의료기기,29.03,-8.28,9,22
유틸리티,15.38,-5.77,2,11
통신,11.76,-7.88,2,15
로봇,10.0,-14.41,2,18
기타,9.09,-15.47,1,10
운송/항공/물류,7.41,-15.78,2,25
보험,7.14,-10.72,1,13
이차전지 장비,6.67,-18.25,1,14
창업투자/VC,6.67,-15.54,1,14
디스플레이 장비,6.67,-15.21,1,14
게임,5.56,-10.21,1,17
바이오/제약/신약개발,5.52,-12.02,8,137
AI,4.55,-13.98,1,21
반도체 소재,4.17,-13.58,1,23
유통/소매,4.0,-13.81,1,24
헬스케어,3.7,-13.93,1,26
화장품,3.45,-11.42,1,28
IT소프트웨어,3.3,-12.97,3,88
건자재,2.94,-12.61,1,33
전력기기,2.5,-13.48,1,39
음식료,2.08,-12.84,1,47
자동차 부품,1.82,-12.93,1,54
정유/화학/가스,1.64,-13.32,1,60
IT하드웨어/반도체,1.08,-14.24,1,92
조선/기계/중공업,0.0,-14.89,0,41
철강/비철금속,0.0,-12.71,0,43
지주회사,0.0,-11.63,0,70
반도체 장비,0.0,-15.74,0,47
미디어,0.0,-13.65,0,26
엔터테인먼트,0.0,-13.68,0,31
미용기기,0.0,-7.23,0,5
가전제품,0.0,-12.4,0,8
디스플레이 패널,0.0,-11.78,0,2
디스플레이 소재,0.0,-18.17,0,9
이차전지 배터리,0.0,-14.66,0,3
의류,0.0,-13.41,0,25
이차전지 소재,0.0,-18.02,0,29
필수소비재,0.0,-12.0,0,2
유통,0.0,-11.3,0,17
은행,0.0,-10.17,0,6
홈리빙/가구,0.0,-9.83,0,8
증권,0.0,-12.72,0,19
건설,0.0,-13.14,0,33
기타금융,0.0,-10.51,0,29
자동차,0.0,-12.81,0,3
원자력,0.0,-5.52,0,5
신재생에너지,0.0,-18.84,0,18
방위산업,0.0,-14.67,0,13
