Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,50.0,-15.22,1,1
진단기기/의료기기,19.35,-1.79,6,25
헬스케어,14.81,-20.11,4,23
바이오/제약/신약개발,13.1,-21.02,19,126
화장품,10.34,-32.08,3,26
엔터테인먼트,9.68,-39.17,3,28
이차전지 소재,6.9,-25.53,2,27
디스플레이 장비,6.67,-36.95,1,14
창업투자/VC,6.67,-35.68,1,14
음식료,6.25,-39.13,3,45
통신,5.88,-35.0,1,16
게임,5.56,-34.57,1,17
IT소프트웨어,5.49,-34.66,5,86
로봇,5.0,-41.34,1,19
AI,4.55,-51.09,1,21
IT하드웨어/반도체,4.3,-36.69,4,89
반도체 장비,4.26,-31.06,2,45
반도체 소재,4.17,-28.35,1,23
의류,4.0,-40.84,1,24
유통/소매,4.0,-43.03,1,24
자동차 부품,3.64,-46.04,2,53
정유/화학/가스,3.28,-39.4,2,59
지주회사,2.86,-40.12,2,68
전력기기,2.5,-42.67,1,39
건자재,0.0,-45.87,0,34
미용기기,0.0,-46.36,0,5
미디어,0.0,-41.87,0,26
유틸리티,0.0,-31.82,0,13
유통,0.0,-41.22,0,17
홈리빙/가구,0.0,-31.46,0,8
방위산업,0.0,-47.9,0,13
건설,0.0,-45.88,0,33
은행,0.0,-48.44,0,6
가전제품,0.0,-40.76,0,8
디스플레이 패널,0.0,-38.07,0,2
디스플레이 소재,0.0,-37.61,0,9
이차전지 배터리,0.0,-34.36,0,3
이차전지 장비,0.0,-32.93,0,15
보험,0.0,-47.57,0,14
증권,0.0,-41.26,0,19
운송/항공/물류,0.0,-43.65,0,27
기타금융,0.0,-30.23,0,29
자동차,0.0,-55.13,0,3
철강/비철금속,0.0,-46.84,0,43
조선/기계/중공업,0.0,-49.47,0,41
신재생에너지,0.0,-41.2,0,18
원자력,0.0,-52.81,0,5
기타,0.0,-44.66,0,11
