Sector,Ratio,MeanChange,NumPos,NumNeg
미용기기,100.0,48.51,5,0
가전제품,87.5,13.2,7,1
조선/기계/중공업,85.37,40.72,35,6
로봇,85.0,68.35,17,3
증권,84.21,15.79,16,3
은행,83.33,8.37,5,1
신재생에너지,83.33,64.45,15,3
기타금융,79.31,6.6,23,6
헬스케어,74.07,21.47,20,7
건설,72.73,25.78,24,9
AI,72.73,57.48,16,6
IT소프트웨어,72.53,25.35,66,25
음식료,70.83,16.36,34,14
화장품,68.97,21.26,20,9
유통/소매,68.0,10.94,17,8
전력기기,67.5,20.92,27,13
지주회사,67.14,11.09,47,23
반도체 소재,66.67,13.78,16,8
디스플레이 소재,66.67,9.35,6,3
통신,64.71,9.69,11,6
의류,64.0,7.98,16,9
정유/화학/가스,63.93,9.65,39,22
유틸리티,61.54,4.99,8,5
엔터테인먼트,61.29,26.79,19,12
철강/비철금속,60.47,6.79,26,17
IT하드웨어/반도체,60.22,14.02,56,37
창업투자/VC,60.0,16.61,9,6
반도체 장비,59.57,9.75,28,19
유통,58.82,14.32,10,7
자동차 부품,58.18,23.35,32,23
기타,54.55,4.71,6,5
방위산업,53.85,23.63,7,6
건자재,52.94,2.87,18,16
보험,50.0,2.32,7,7
홈리빙/가구,50.0,12.71,4,4
미디어,50.0,3.88,13,13
진단기기/의료기기,48.39,8.44,15,16
게임,44.44,-1.91,8,10
바이오/제약/신약개발,44.14,13.08,64,81
원자력,40.0,6.82,2,3
디스플레이 장비,40.0,11.17,6,9
운송/항공/물류,37.04,-2.86,10,17
이차전지 장비,33.33,-2.07,5,10
이차전지 소재,6.9,-25.12,2,27
필수소비재,0.0,-1.61,0,2
자동차,0.0,-9.88,0,3
이차전지 배터리,0.0,-18.18,0,3
디스플레이 패널,0.0,-11.44,0,2
