Sector,Ratio,MeanChange,NumPos,NumNeg
자동차,100.0,0.33,3,0
디스플레이 패널,100.0,0.61,2,0
이차전지 배터리,100.0,3.5,3,0
은행,100.0,1.54,6,0
반도체 장비,93.62,3.78,44,3
디스플레이 장비,93.33,2.95,14,1
로봇,90.0,2.13,18,2
디스플레이 소재,88.89,0.84,8,1
보험,85.71,2.65,12,2
정유/화학/가스,85.25,1.23,52,9
유틸리티,84.62,1.03,11,2
지주회사,80.0,1.45,56,14
원자력,80.0,1.06,4,1
이차전지 장비,80.0,1.62,12,3
기타금융,79.31,0.51,23,6
철강/비철금속,79.07,1.5,34,9
게임,77.78,0.98,14,4
통신,76.47,1.16,13,4
유통,76.47,2.31,13,4
이차전지 소재,75.86,2.06,22,7
반도체 소재,75.0,1.39,18,6
가전제품,75.0,1.71,6,2
건자재,73.53,0.7,25,9
조선/기계/중공업,73.17,2.31,30,11
IT하드웨어/반도체,73.12,1.01,68,25
기타,72.73,1.11,8,3
전력기기,72.5,0.71,29,11
IT소프트웨어,69.23,0.8,63,28
엔터테인먼트,67.74,0.78,21,10
진단기기/의료기기,67.74,0.57,21,10
자동차 부품,67.27,0.49,37,18
바이오/제약/신약개발,66.9,1.23,97,48
의류,64.0,0.39,16,9
건설,63.64,-0.04,21,12
AI,63.64,0.03,14,8
운송/항공/물류,62.96,0.67,17,10
홈리빙/가구,62.5,-0.9,5,3
창업투자/VC,60.0,-0.08,9,6
화장품,58.62,0.49,17,12
음식료,56.25,0.26,27,21
미디어,53.85,-0.37,14,12
방위산업,53.85,0.54,7,6
헬스케어,51.85,-0.05,14,13
필수소비재,50.0,1.99,1,1
증권,47.37,-0.12,9,10
미용기기,40.0,-0.48,2,3
유통/소매,40.0,-0.52,10,15
신재생에너지,33.33,-2.22,6,12
