Sector,Ratio,MeanChange,NumPos,NumNeg
미용기기,100.0,13.83,5,0
신재생에너지,95.0,21.17,19,1
창업투자/VC,93.33,26.15,14,1
유틸리티,93.33,3.56,14,1
기타,92.86,10.13,13,1
디스플레이 소재,88.89,6.85,8,1
AI,87.5,14.45,21,3
엔터테인먼트,86.67,9.48,26,4
은행,85.71,10.9,6,1
증권,84.21,4.86,16,3
음식료,80.77,4.57,42,10
원자력,80.0,9.99,4,1
건설,78.38,27.94,29,8
미디어,78.26,15.45,18,5
전력기기,77.42,8.45,24,7
통신,77.27,5.02,17,5
IT소프트웨어,77.01,9.05,67,20
건자재,76.67,13.24,23,7
지주회사,75.81,6.25,47,15
바이오/제약/신약개발,75.68,8.44,112,36
필수소비재,75.0,5.18,3,1
방위산업,75.0,8.97,9,3
기타금융,75.0,2.17,24,8
조선/기계/중공업,74.42,14.02,32,11
헬스케어,72.41,7.25,21,8
유통/소매,70.83,4.82,17,7
이차전지 장비,70.59,5.12,12,5
가전제품,70.0,1.5,7,3
홈리빙/가구,69.23,6.43,9,4
정유/화학/가스,66.1,2.98,39,20
진단기기/의료기기,64.29,3.81,18,10
화장품,63.33,9.35,19,11
의류,62.96,3.91,17,10
자동차 부품,57.63,3.88,34,25
이차전지 소재,57.14,1.98,16,12
반도체 소재,57.14,2.53,12,9
유통,52.94,1.92,9,8
철강/비철금속,52.17,3.64,24,22
게임,50.0,2.3,10,10
이차전지 배터리,50.0,0.13,3,3
IT하드웨어/반도체,50.0,0.43,47,47
운송/항공/물류,44.83,1.68,13,16
디스플레이 장비,44.44,1.51,8,10
반도체 장비,40.82,-1.25,20,29
보험,38.46,1.86,5,8
자동차,0.0,-9.71,0,3
디스플레이 패널,0.0,-4.99,0,2
