Sector,Ratio,MeanChange,NumPos,NumNeg
방위산업,100.0,8.99,13,0
원자력,100.0,19.79,5,0
가전제품,100.0,7.55,8,0
디스플레이 패널,100.0,3.08,2,0
은행,100.0,12.53,6,0
증권,94.74,17.6,18,1
신재생에너지,94.44,35.77,17,1
기타금융,93.1,5.68,27,2
유틸리티,92.31,8.55,12,1
지주회사,90.0,9.33,63,7
의류,88.0,8.03,22,3
전력기기,87.5,13.54,35,5
보험,85.71,9.48,12,2
조선/기계/중공업,82.93,12.83,34,7
건설,81.82,2.56,27,6
엔터테인먼트,77.42,11.44,24,7
홈리빙/가구,75.0,3.14,6,2
반도체 장비,74.47,6.58,35,12
창업투자/VC,73.33,-0.69,11,4
미디어,73.08,4.61,19,7
기타,72.73,5.1,8,3
IT하드웨어/반도체,70.97,3.41,66,27
자동차 부품,70.91,2.42,39,16
유통/소매,68.0,2.79,17,8
건자재,67.65,3.22,23,11
반도체 소재,66.67,6.11,16,8
자동차,66.67,2.62,2,1
유통,64.71,5.0,11,6
통신,64.71,2.31,11,6
운송/항공/물류,62.96,4.34,17,10
헬스케어,62.96,6.77,17,10
화장품,62.07,6.71,18,11
정유/화학/가스,60.66,3.61,37,24
IT소프트웨어,60.44,3.63,55,36
미용기기,60.0,4.25,3,2
로봇,60.0,9.45,12,8
음식료,56.25,1.42,27,21
게임,55.56,1.25,10,8
진단기기/의료기기,54.84,5.94,17,14
바이오/제약/신약개발,52.41,5.64,76,69
필수소비재,50.0,1.28,1,1
철강/비철금속,48.84,-1.33,21,22
디스플레이 장비,46.67,1.58,7,8
이차전지 소재,44.83,-4.11,13,16
디스플레이 소재,44.44,0.02,4,5
AI,36.36,3.64,8,14
이차전지 장비,26.67,2.45,4,11
이차전지 배터리,0.0,-6.99,0,3
