Sector,Ratio,MeanChange,NumPos,NumNeg
자동차,100.0,1.94,3,0
이차전지 장비,100.0,9.72,15,0
증권,95.0,6.64,19,1
이차전지 소재,92.31,5.51,24,2
지주회사,88.89,7.13,64,8
게임,83.33,4.16,15,3
유틸리티,83.33,1.92,10,2
정유/화학/가스,81.67,3.7,49,11
기타,80.0,2.71,8,2
건설,80.0,2.22,28,7
창업투자/VC,80.0,2.85,12,3
의류,79.17,4.3,19,5
통신,77.78,9.58,14,4
신재생에너지,77.78,5.03,14,4
유통,76.47,2.82,13,4
자동차 부품,75.93,1.64,41,13
화장품,75.0,2.27,21,7
건자재,73.53,2.13,25,9
음식료,70.83,1.97,34,14
IT소프트웨어,68.09,3.21,64,30
이차전지 배터리,66.67,1.74,2,1
디스플레이 패널,66.67,-0.78,2,1
바이오/제약/신약개발,66.0,2.73,99,51
헬스케어,65.52,1.16,19,10
운송/항공/물류,62.96,0.52,17,10
엔터테인먼트,62.5,2.63,20,12
미디어,62.5,2.05,15,9
조선/기계/중공업,60.47,0.66,26,17
홈리빙/가구,60.0,-0.69,6,4
IT하드웨어/반도체,59.57,1.32,56,38
보험,57.14,2.56,8,6
철강/비철금속,55.81,1.75,24,19
로봇,55.56,0.47,10,8
디스플레이 소재,55.56,-0.05,5,4
기타금융,55.17,0.71,16,13
AI,52.38,1.89,11,10
반도체 소재,52.17,0.19,12,11
디스플레이 장비,50.0,-0.37,8,8
필수소비재,50.0,-1.67,1,1
미용기기,50.0,4.19,2,2
진단기기/의료기기,43.75,-0.33,14,18
가전제품,37.5,-0.88,3,5
전력기기,32.5,-1.47,13,27
반도체 장비,31.91,-0.71,15,32
방위산업,30.77,-1.29,4,9
은행,16.67,-0.15,1,5
원자력,0.0,-5.92,0,5
