Sector,Ratio,MeanChange,NumPos,NumNeg
방위산업,52.94,32.85,9,8
금융,50.48,2.14,53,52
필수소비재,49.25,5.67,33,34
의류,48.84,7.22,21,22
건설/건자재,47.62,11.38,50,55
조선/기계/중공업,45.57,19.19,36,43
화장품,42.11,15.36,16,22
기타,38.95,-5.24,37,58
지주회사,38.57,1.21,27,43
신재생에너지,38.46,8.84,10,16
통신,37.14,3.07,13,22
IT소프트웨어,36.88,6.21,52,89
유틸리티,34.78,0.47,8,15
운송/항공/물류,34.29,-4.1,12,23
바이오/신약개발,34.04,8.56,64,124
미용기기,33.33,-1.51,5,10
이차전지 배터리,33.33,-21.93,2,4
헬스케어/진단,33.33,-5.25,29,58
유통/소매,31.91,-4.99,15,32
철강/비철금속,31.75,1.14,20,43
엔터테인먼트,30.56,-0.56,11,25
원자력,30.0,-5.22,3,7
자동차 부품,29.17,4.79,35,85
게임,29.17,-9.38,7,17
미디어,25.64,-4.67,10,29
정유/화학/가스,22.22,-10.94,16,56
AI,19.44,-12.33,7,29
IT하드웨어/반도체,18.47,-21.66,29,128
이차전지 장비,16.0,-29.03,4,21
반도체 장비,13.64,-25.71,9,57
반도체 소재,9.09,-25.25,3,30
디스플레이 장비,7.41,-29.58,2,25
디스플레이 소재,7.14,-19.35,1,13
디스플레이 패널,0.0,-17.51,0,1
자동차,0.0,-30.83,0,3
이차전지 소재,0.0,-47.26,0,35
