Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,100.0,0.09,2,0
증권,100.0,2.23,19,0
원자력,100.0,3.43,5,0
유틸리티,92.31,1.27,12,1
전력기기,90.0,3.31,36,4
화장품,89.66,2.78,26,3
가전제품,87.5,1.66,7,1
건설,84.85,1.54,28,5
의류,84.0,1.42,21,4
은행,83.33,1.13,5,1
건자재,82.35,0.84,28,6
지주회사,81.43,0.93,57,13
창업투자/VC,80.0,0.81,12,3
유통/소매,80.0,0.97,20,5
미용기기,80.0,0.79,4,1
유통,76.47,2.02,13,4
철강/비철금속,74.42,0.97,32,11
헬스케어,74.07,2.0,20,7
기타,72.73,0.72,8,3
엔터테인먼트,70.97,0.97,22,9
통신,70.59,1.04,12,5
미디어,69.23,0.33,18,8
기타금융,68.97,0.33,20,9
디스플레이 소재,66.67,-0.63,6,3
조선/기계/중공업,65.85,1.2,27,14
IT하드웨어/반도체,64.52,0.41,60,33
IT소프트웨어,63.74,0.62,58,33
홈리빙/가구,62.5,0.45,5,3
신재생에너지,61.11,1.74,11,7
게임,55.56,0.21,10,8
정유/화학/가스,54.1,-0.01,33,28
자동차 부품,52.73,0.08,29,26
진단기기/의료기기,51.61,0.68,16,15
바이오/제약/신약개발,51.03,0.73,74,71
디스플레이 패널,50.0,-0.01,1,1
로봇,50.0,0.56,10,10
AI,50.0,-0.4,11,11
반도체 장비,48.94,0.43,23,24
반도체 소재,45.83,0.4,11,13
음식료,41.67,-0.18,20,28
운송/항공/물류,37.04,-0.32,10,17
보험,35.71,-0.46,5,9
자동차,33.33,0.23,1,2
이차전지 배터리,33.33,-2.15,1,2
디스플레이 장비,33.33,-0.44,5,10
방위산업,30.77,0.31,4,9
이차전지 소재,20.69,-3.32,6,23
이차전지 장비,13.33,-1.58,2,13
