Sector,Ratio,MeanChange,NumPos,NumNeg
은행,71.43,2.55,5,2
증권,63.16,3.85,12,7
방위산업,58.33,48.03,7,5
조선/기계/중공업,58.14,49.3,25,18
음식료,57.69,13.86,30,22
전력기기,54.84,6.44,17,14
홈리빙/가구,53.85,8.12,7,6
화장품,53.33,29.14,16,14
창업투자/VC,46.67,31.98,7,8
통신,45.45,-1.52,10,12
지주회사,44.44,3.54,28,35
건설,43.24,16.53,16,21
IT소프트웨어,42.53,16.15,37,50
자동차 부품,40.68,18.33,24,35
건자재,40.0,1.84,12,18
미용기기,40.0,7.94,2,3
엔터테인먼트,40.0,8.13,12,18
철강/비철금속,39.13,2.6,18,28
보험,38.46,-4.09,5,8
바이오/제약/신약개발,38.26,12.44,57,92
헬스케어,37.93,-4.65,11,18
기타금융,37.5,-4.19,12,20
의류,37.04,-2.1,10,17
신재생에너지,36.84,8.82,7,12
유통,35.29,-6.43,6,11
게임,35.0,-7.19,7,13
유통/소매,29.17,-8.43,7,17
진단기기/의료기기,28.57,-10.0,8,20
기타,28.57,-9.32,4,10
운송/항공/물류,27.59,-7.29,8,21
유틸리티,26.67,0.14,4,11
필수소비재,25.0,-10.98,1,3
IT하드웨어/반도체,22.34,-21.96,21,73
정유/화학/가스,22.03,-11.96,13,46
AI,20.83,-7.3,5,19
이차전지 장비,17.65,-27.54,3,14
미디어,17.39,-7.39,4,19
이차전지 배터리,16.67,-20.95,1,5
반도체 장비,10.2,-27.32,5,44
가전제품,10.0,-19.34,1,9
디스플레이 장비,5.56,-28.63,1,17
반도체 소재,4.76,-31.61,1,20
자동차,0.0,-32.54,0,3
이차전지 소재,0.0,-48.02,0,28
원자력,0.0,-18.56,0,5
디스플레이 소재,0.0,-30.02,0,9
디스플레이 패널,0.0,-27.48,0,2
