Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,50.0,0.63,1,1
기타,45.45,-0.21,5,6
유통/소매,40.0,0.99,10,15
창업투자/VC,40.0,2.77,6,9
홈리빙/가구,37.5,5.17,3,5
AI,36.36,5.53,8,14
신재생에너지,27.78,-3.47,5,13
건설,24.24,7.2,8,25
건자재,23.53,-2.7,8,26
유틸리티,23.08,-2.84,3,10
미디어,23.08,-3.42,6,20
IT소프트웨어,21.98,0.02,20,71
철강/비철금속,20.93,-3.56,9,34
유통,17.65,-2.21,3,14
조선/기계/중공업,17.07,-5.93,7,34
헬스케어,14.81,-5.06,4,23
보험,14.29,-5.67,2,12
이차전지 소재,13.79,-8.3,4,25
바이오/제약/신약개발,13.79,-5.56,20,125
정유/화학/가스,13.11,-6.58,8,53
음식료,12.5,-4.55,6,42
엔터테인먼트,9.68,-8.18,3,28
자동차 부품,9.09,-5.66,5,50
방위산업,7.69,-7.87,1,12
지주회사,7.14,-5.48,5,65
통신,5.88,-7.24,1,16
게임,5.56,-6.96,1,17
IT하드웨어/반도체,5.38,-10.33,5,88
로봇,5.0,-11.46,1,19
반도체 소재,4.17,-11.47,1,23
운송/항공/물류,3.7,-6.65,1,26
기타금융,3.45,-3.99,1,28
화장품,3.45,-11.3,1,28
진단기기/의료기기,3.23,-7.46,1,30
전력기기,2.5,-10.24,1,39
자동차,0.0,-9.87,0,3
반도체 장비,0.0,-13.75,0,47
가전제품,0.0,-7.85,0,8
디스플레이 패널,0.0,-12.39,0,2
미용기기,0.0,-8.83,0,5
디스플레이 소재,0.0,-10.34,0,9
증권,0.0,-6.48,0,19
디스플레이 장비,0.0,-10.17,0,15
의류,0.0,-6.21,0,25
원자력,0.0,-13.85,0,5
이차전지 장비,0.0,-10.04,0,15
은행,0.0,-9.77,0,6
이차전지 배터리,0.0,-7.7,0,3
