Sector,Ratio,MeanChange,NumPos,NumNeg
미용기기,100.0,68.21,5,0
조선/기계/중공업,90.7,42.75,39,4
가전제품,90.0,15.46,9,1
신재생에너지,85.0,66.54,17,3
기타금융,81.25,9.19,26,6
은행,80.0,8.31,8,2
증권,78.95,15.09,15,4
의류,77.78,13.52,21,6
반도체 소재,77.27,21.48,17,5
헬스케어,75.86,22.87,22,7
IT소프트웨어,74.12,28.38,63,22
건설,72.97,28.51,27,10
음식료,71.15,15.53,37,15
AI,70.83,48.16,17,7
IT하드웨어/반도체,70.21,19.21,66,28
화장품,70.0,19.4,21,9
유통/소매,69.57,11.84,16,7
미디어,69.57,21.1,16,7
방위산업,66.67,23.1,8,4
반도체 장비,66.0,15.57,33,17
전력기기,65.52,22.95,19,10
유통,64.71,12.93,11,6
지주회사,63.33,14.28,38,22
자동차 부품,63.33,26.38,38,22
건자재,63.33,8.5,19,11
철강/비철금속,63.04,6.85,29,17
엔터테인먼트,60.0,22.4,18,12
창업투자/VC,60.0,21.85,9,6
이차전지 배터리,60.0,-0.91,3,2
운송/항공/물류,58.62,3.34,17,12
정유/화학/가스,56.9,5.1,33,25
디스플레이 소재,55.56,4.89,5,4
통신,54.55,12.76,12,10
기타,53.33,8.08,8,7
디스플레이 장비,50.0,11.9,9,9
게임,50.0,0.52,10,10
유틸리티,46.67,2.31,7,8
보험,46.15,2.69,6,7
홈리빙/가구,46.15,11.44,6,7
진단기기/의료기기,42.86,-2.51,12,16
바이오/제약/신약개발,38.93,8.65,58,91
이차전지 장비,35.29,0.08,6,11
자동차,33.33,-7.87,1,2
필수소비재,25.0,-3.34,1,3
원자력,16.67,-1.22,1,5
이차전지 소재,6.9,-29.4,2,27
디스플레이 패널,0.0,-7.56,0,2
