Sector,Ratio,MeanChange,NumPos,NumNeg
자동차,100.0,0.91,3,0
디스플레이 소재,88.89,2.05,8,1
게임,72.22,1.3,13,5
반도체 장비,70.21,1.27,33,14
로봇,70.0,5.35,14,6
IT하드웨어/반도체,69.89,1.87,65,28
엔터테인먼트,67.74,2.36,21,10
반도체 소재,66.67,1.16,16,8
은행,66.67,0.7,4,2
통신,64.71,1.0,11,6
증권,63.16,0.26,12,7
이차전지 장비,60.0,1.17,9,6
디스플레이 장비,60.0,0.75,9,6
창업투자/VC,60.0,0.84,9,6
운송/항공/물류,55.56,0.22,15,12
유틸리티,53.85,-0.0,7,6
건자재,52.94,-0.12,18,16
유통,52.94,0.52,9,8
기타금융,51.72,-0.17,15,14
미디어,50.0,0.66,13,13
필수소비재,50.0,0.22,1,1
디스플레이 패널,50.0,-2.6,1,1
신재생에너지,50.0,0.4,9,9
의류,48.0,0.24,12,13
철강/비철금속,46.51,0.01,20,23
IT소프트웨어,46.15,0.37,42,49
AI,45.45,0.7,10,12
전력기기,45.0,-0.04,18,22
이차전지 소재,44.83,0.79,13,16
헬스케어,44.44,-0.0,12,15
지주회사,42.86,-0.46,30,40
진단기기/의료기기,41.94,-0.18,13,18
자동차 부품,41.82,-0.49,23,32
정유/화학/가스,40.98,-0.3,25,36
바이오/제약/신약개발,37.93,-0.73,55,90
가전제품,37.5,-0.41,3,5
조선/기계/중공업,36.59,-0.55,15,26
기타,36.36,-0.59,4,7
유통/소매,36.0,-0.62,9,16
건설,33.33,-0.76,11,22
이차전지 배터리,33.33,-0.32,1,2
음식료,29.17,-0.55,14,34
보험,28.57,-0.94,4,10
화장품,27.59,-0.79,8,21
홈리빙/가구,25.0,-0.28,2,6
방위산업,23.08,-1.87,3,10
미용기기,20.0,-0.36,1,4
원자력,0.0,-1.9,0,5
