Sector,Ratio,MeanChange,NumPos,NumNeg
은행,71.43,2.17,5,2
증권,66.67,6.78,12,6
미용기기,60.0,31.8,3,2
방위산업,58.82,35.45,10,7
전력기기,51.16,7.62,22,21
필수소비재,50.0,7.12,32,32
건설/건자재,49.5,10.31,50,51
의류,48.65,7.4,18,19
조선/기계/중공업,44.59,25.27,33,41
화장품,43.24,18.38,16,21
금융,41.54,0.31,27,38
헬스케어/진단,40.82,-1.84,20,29
기타,38.16,-5.31,29,47
지주회사,38.03,0.5,27,44
IT소프트웨어,35.95,4.95,55,98
바이오/신약개발,35.11,9.31,66,122
엔터테인먼트,34.38,3.01,11,21
보험,33.33,-8.74,5,10
통신,33.33,-4.87,11,22
유틸리티,29.41,-1.67,5,12
운송/항공/물류,29.41,-6.2,10,24
게임,29.17,-8.69,7,17
자동차 부품,28.85,4.28,30,74
철강/비철금속,28.79,-1.35,19,47
유통/소매,28.57,-4.0,16,40
신재생에너지,25.0,-11.3,7,21
의료기기,23.91,-4.49,11,35
AI,23.08,-9.77,9,30
미디어,22.73,-8.42,10,34
정유/화학/가스,20.0,-11.77,14,56
IT하드웨어/반도체,18.49,-20.78,27,119
이차전지 장비,17.39,-30.05,4,19
원자력,16.67,-14.53,1,5
반도체 장비,11.11,-29.68,7,56
반도체 소재,7.14,-27.47,2,26
디스플레이 장비,4.0,-33.46,1,24
이차전지 소재,2.86,-48.16,1,34
자동차,0.0,-31.7,0,3
이차전지 배터리,0.0,-46.92,0,5
디스플레이 소재,0.0,-31.58,0,15
디스플레이 패널,0.0,-24.14,0,2
