Sector,Ratio,MeanChange,NumPos,NumNeg
증권,100.0,7.65,20,0
가전제품,100.0,2.47,8,0
지주회사,100.0,6.13,75,0
디스플레이 장비,100.0,2.01,16,0
필수소비재,100.0,1.93,2,0
자동차,100.0,1.21,3,0
보험,100.0,5.84,14,0
음식료,97.92,2.94,47,1
이차전지 소재,96.15,1.73,25,1
반도체 소재,95.65,2.34,22,1
유통,94.12,2.15,16,1
반도체 장비,93.62,2.77,44,3
창업투자/VC,93.33,5.8,14,1
철강/비철금속,93.02,2.06,40,3
운송/항공/물류,92.59,1.77,25,2
의류,91.67,3.25,22,2
IT하드웨어/반도체,90.53,1.85,86,9
홈리빙/가구,90.0,1.65,9,1
정유/화학/가스,90.0,1.9,54,6
기타,90.0,0.98,9,1
로봇,89.47,4.18,17,2
디스플레이 소재,88.89,1.71,8,1
전력기기,87.5,2.27,35,5
자동차 부품,87.27,1.23,48,7
IT소프트웨어,87.23,3.0,82,12
이차전지 장비,86.67,0.79,13,2
건설,85.71,1.89,30,5
건자재,85.29,2.44,29,5
방위산업,84.62,1.69,11,2
신재생에너지,84.21,1.49,16,3
미디어,84.0,1.0,21,4
유틸리티,83.33,2.04,10,2
은행,83.33,4.58,5,1
통신,83.33,1.35,15,3
AI,80.95,6.0,17,4
기타금융,79.31,0.97,23,6
화장품,78.57,1.53,22,6
엔터테인먼트,75.0,1.66,24,8
게임,72.22,1.25,13,5
헬스케어,68.97,0.49,20,9
조선/기계/중공업,67.44,1.28,29,14
이차전지 배터리,66.67,1.46,2,1
디스플레이 패널,66.67,-0.22,2,1
원자력,60.0,1.71,3,2
바이오/제약/신약개발,57.33,-0.65,86,64
진단기기/의료기기,53.12,-0.2,17,15
미용기기,25.0,-1.72,1,3
