Sector,Ratio,MeanChange,NumPos,NumNeg
디스플레이 패널,100.0,12.83,3,0
유틸리티,100.0,14.96,12,0
증권,100.0,25.66,20,0
신재생에너지,94.74,18.5,18,1
지주회사,93.33,21.26,70,5
방위산업,92.31,8.48,12,1
의류,87.5,16.85,21,3
가전제품,87.5,10.19,7,1
보험,85.71,16.57,12,2
은행,83.33,8.31,5,1
유통,82.35,12.49,14,3
조선/기계/중공업,81.4,12.1,35,8
원자력,80.0,17.61,4,1
미디어,80.0,5.27,20,5
통신,77.78,8.97,14,4
운송/항공/물류,77.78,6.69,21,6
IT소프트웨어,77.66,11.42,73,21
전력기기,77.5,11.57,31,9
건설,77.14,9.48,27,8
건자재,76.47,6.31,26,8
헬스케어,75.86,9.34,22,7
미용기기,75.0,6.74,3,1
엔터테인먼트,75.0,10.05,24,8
로봇,73.68,12.8,14,5
창업투자/VC,73.33,3.97,11,4
기타금융,72.41,4.18,21,8
게임,72.22,5.4,13,5
홈리빙/가구,70.0,1.1,7,3
음식료,68.75,6.1,33,15
정유/화학/가스,68.33,5.22,41,19
화장품,67.86,12.12,19,9
AI,66.67,8.69,14,7
바이오/제약/신약개발,66.0,5.73,99,51
철강/비철금속,65.12,4.38,28,15
IT하드웨어/반도체,64.21,4.25,61,34
자동차 부품,63.64,2.82,35,20
반도체 장비,61.7,4.9,29,18
기타,60.0,6.69,6,4
진단기기/의료기기,59.38,5.79,19,13
반도체 소재,56.52,3.42,13,10
필수소비재,50.0,2.67,1,1
디스플레이 소재,44.44,0.52,4,5
이차전지 장비,40.0,1.32,6,9
자동차,33.33,-1.2,1,2
디스플레이 장비,31.25,0.51,5,11
이차전지 소재,26.92,-6.41,7,19
이차전지 배터리,0.0,-4.61,0,3
