Sector,Ratio,MeanChange,NumPos,NumNeg
방위산업,100.0,10.24,13,0
원자력,100.0,25.81,5,0
증권,94.74,18.69,18,1
유틸리티,92.31,10.22,12,1
기타금융,89.66,4.03,26,3
가전제품,87.5,6.98,7,1
은행,83.33,7.33,5,1
지주회사,81.43,9.29,57,13
의류,80.0,9.55,20,5
화장품,79.31,10.49,23,6
보험,78.57,8.74,11,3
조선/기계/중공업,78.05,11.98,32,9
신재생에너지,77.78,15.34,14,4
전력기기,77.5,15.35,31,9
홈리빙/가구,75.0,2.01,6,2
유통,70.59,7.19,12,5
건설,69.7,4.26,23,10
진단기기/의료기기,67.74,5.84,21,10
엔터테인먼트,67.74,9.24,21,10
헬스케어,66.67,9.1,18,9
미디어,65.38,3.48,17,9
유통/소매,64.0,2.47,16,9
운송/항공/물류,62.96,4.0,17,10
게임,61.11,0.26,11,7
미용기기,60.0,3.91,3,2
IT소프트웨어,57.14,2.24,52,39
기타,54.55,3.17,6,5
반도체 장비,53.19,2.35,25,22
통신,52.94,-0.95,9,8
철강/비철금속,51.16,-1.53,22,21
필수소비재,50.0,-0.46,1,1
디스플레이 패널,50.0,1.29,1,1
바이오/제약/신약개발,48.97,3.05,71,74
IT하드웨어/반도체,48.39,-0.03,45,48
음식료,47.92,0.95,23,25
건자재,47.06,-0.04,16,18
정유/화학/가스,45.9,-0.71,28,33
디스플레이 소재,44.44,-2.05,4,5
자동차 부품,41.82,-1.34,23,32
반도체 소재,41.67,0.91,10,14
창업투자/VC,40.0,-7.79,6,9
자동차,33.33,-3.44,1,2
로봇,30.0,0.9,6,14
AI,27.27,-6.45,6,16
디스플레이 장비,26.67,-1.35,4,11
이차전지 장비,20.0,-3.83,3,12
이차전지 소재,17.24,-10.94,5,24
이차전지 배터리,0.0,-11.19,0,3
