Sector,Ratio,MeanChange,NumPos,NumNeg
자동차,100.0,1.17,3,0
유통,70.59,0.8,12,5
전력기기,62.5,0.28,25,15
화장품,62.07,0.45,18,11
방위산업,61.54,1.16,8,5
원자력,60.0,0.37,3,2
AI,59.09,0.49,13,9
건설,57.58,0.19,19,14
바이오/제약/신약개발,56.55,1.21,82,63
음식료,52.08,0.57,25,23
기타금융,51.72,-0.16,15,14
지주회사,51.43,0.17,36,34
게임,50.0,0.61,9,9
반도체 소재,50.0,-0.21,12,12
은행,50.0,0.04,3,3
헬스케어,48.15,-0.49,13,14
기타,45.45,0.15,5,6
건자재,44.12,-0.23,15,19
의류,44.0,0.75,11,14
조선/기계/중공업,43.9,0.41,18,23
진단기기/의료기기,41.94,0.09,13,18
통신,41.18,0.18,7,10
IT소프트웨어,40.66,-0.24,37,54
이차전지 장비,40.0,-1.09,6,9
미용기기,40.0,-0.76,2,3
신재생에너지,38.89,-1.15,7,11
미디어,38.46,0.43,10,16
유틸리티,38.46,-0.35,5,8
정유/화학/가스,37.7,-0.31,23,38
홈리빙/가구,37.5,-1.61,3,5
철강/비철금속,37.21,-0.47,16,27
운송/항공/물류,29.63,-0.78,8,19
유통/소매,28.0,-0.34,7,18
이차전지 소재,27.59,-1.36,8,21
창업투자/VC,26.67,-0.39,4,11
디스플레이 장비,26.67,-0.87,4,11
자동차 부품,25.45,-0.77,14,41
엔터테인먼트,22.58,-0.93,7,24
IT하드웨어/반도체,22.58,-0.88,21,72
디스플레이 소재,22.22,-0.64,2,7
보험,21.43,-1.04,3,11
로봇,20.0,-1.03,4,16
반도체 장비,12.77,-1.22,6,41
증권,10.53,-1.41,2,17
필수소비재,0.0,-0.95,0,2
이차전지 배터리,0.0,-2.18,0,3
디스플레이 패널,0.0,-0.67,0,2
가전제품,0.0,-1.61,0,8
