Sector,Ratio,MeanChange,NumPos,NumNeg
자동차,100.0,0.16,3,0
원자력,100.0,5.8,6,0
보험,92.31,3.33,12,1
엔터테인먼트,90.0,6.05,27,3
증권,89.47,5.11,17,2
유틸리티,86.67,1.55,13,2
유통,82.35,2.02,14,3
기타금융,81.25,0.92,26,6
미용기기,80.0,2.26,4,1
지주회사,75.0,1.82,45,15
게임,70.0,2.64,14,6
은행,70.0,1.87,7,3
건설,67.57,1.33,25,12
화장품,66.67,2.26,20,10
방위산업,66.67,1.56,8,4
미디어,65.22,1.26,15,8
유통/소매,65.22,1.44,15,8
홈리빙/가구,61.54,-0.59,8,5
기타,60.0,-0.39,9,6
의류,59.26,0.09,16,11
통신,59.09,-0.49,13,9
전력기기,58.62,1.9,17,12
음식료,55.77,0.26,29,23
운송/항공/물류,55.17,0.47,16,13
IT소프트웨어,51.76,0.93,44,41
헬스케어,51.72,1.02,15,14
필수소비재,50.0,0.12,2,2
건자재,50.0,2.66,15,15
신재생에너지,50.0,-0.07,10,10
조선/기계/중공업,48.84,1.48,21,22
정유/화학/가스,46.55,0.44,27,31
자동차 부품,45.0,-1.53,27,33
진단기기/의료기기,39.29,-1.17,11,17
IT하드웨어/반도체,35.11,-0.99,33,61
바이오/제약/신약개발,34.23,-1.65,51,98
이차전지 소재,31.03,-1.85,9,20
철강/비철금속,30.43,-2.66,14,32
이차전지 장비,29.41,-0.67,5,12
디스플레이 장비,22.22,0.06,4,14
디스플레이 소재,22.22,-3.22,2,7
창업투자/VC,20.0,-2.68,3,12
이차전지 배터리,20.0,-3.4,1,4
가전제품,20.0,-0.68,2,8
반도체 소재,18.18,-2.42,4,18
AI,16.67,-3.01,4,20
반도체 장비,12.0,-3.26,6,44
디스플레이 패널,0.0,-0.66,0,2
