Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector
007540,KR7007540008,샘표,KOSPI,,46350,1,1350,3.0,45000,46700,44400,9692,444370825,133293330000,2875800,STK,음식료
007570,KR7007570005,일양약품,KOSPI,,13170,1,280,2.17,12970,13210,12860,28721,375260360,251358194880,19085664,STK,바이오/제약/신약개발
007590,KR7007590003,동방아그로,KOSPI,,6200,1,10,0.16,6190,6210,6140,2660,16396490,84428977400,13617577,STK,화학/비료 (제공된 업종에 정확히 부합하지 않음)
007610,KR7007610009,선도전기,KOSPI,,3000,0,0,0.0,0,0,0,0,0,54000000000,18000000,STK,전력기기
007660,KR7007660004,이수페타시스,KOSPI,,40700,1,2600,6.82,39100,40950,39100,827097,33351776650,2987755213300,73409219,STK,IT하드웨어/반도체
007680,KR7007680002,대원,KOSDAQ,중견기업부,4495,1,45,1.01,4520,4520,4410,2209,9889625,60441900630,13446474,KSQ,건설
007690,KR7007690001,국도화학,KOSPI,,34200,1,1000,3.01,33300,34350,33300,6332,215709275,316720454400,9260832,STK,정유/화학/가스
007700,KR7007700008,F&F홀딩스,KOSPI,,16140,1,980,6.46,15440,16230,15260,44851,714165490,631305883380,39114367,STK,지주회사
007720,KR7007720006,소노스퀘어,KOSDAQ,중견기업부,820,1,9,1.11,811,826,800,93411,76101202,82656369000,100800450,KSQ,엔터테인먼트
007770,KR7007770001,한일화학,KOSDAQ,중견기업부,9790,2,-10,-0.1,9810,9810,9600,979,9555720,34362900000,3510000,KSQ,정유/화학/가스
007810,KR7007810005,코리아써키트,KOSPI,,10260,1,190,1.89,10110,10290,10110,18326,187632560,242348905260,23620751,STK,IT하드웨어/반도체
007820,KR7007820004,에스엠코어,KOSDAQ,벤처기업부,3855,1,15,0.39,3880,3930,3840,89019,344636707,77230861830,20033946,KSQ,조선/기계/중공업
007860,KR7007860000,서연,KOSPI,,10370,1,830,8.7,9750,10600,9500,1744855,17763723210,243485982280,23479844,STK,자동차 부품
007980,KR7007980006,TP,KOSPI,,1499,1,41,2.81,1460,1516,1460,621816,926584212,76711519870,51175130,STK,IT하드웨어/반도체
008040,KR7008040008,사조동아원,KOSPI,,1157,1,12,1.05,1150,1160,1135,380815,437602155,163304302200,141144600,STK,음식료
008060,KR7008060006,대덕,KOSPI,,7860,1,170,2.21,7720,7880,7720,64314,503960475,266376579000,33890150,STK,IT하드웨어/반도체
008110,KR7008110009,대동전자,KOSPI,,15040,0,0,0.0,0,0,0,0,0,157776322880,10490447,STK,IT하드웨어/반도체
008250,KR7008250003,이건산업,KOSPI,,5560,1,120,2.21,5400,5630,5400,26894,148006040,60896650600,10952635,STK,건자재
008260,KR7008260002,NI스틸,KOSPI,,3540,1,40,1.14,3500,3540,3440,32345,113011720,101244414180,28600117,STK,철강/비철금속
008290,KR7008290009,원풍물산,KOSDAQ,중견기업부,522,1,15,2.96,512,525,509,31680,16384219,21242100438,40693679,KSQ,의류
008350,KR7008350001,남선알미늄,KOSPI,,1225,1,3,0.25,1222,1228,1208,448009,545114502,158121885250,129079090,STK,철강/비철금속
008370,KR7008370009,원풍,KOSDAQ,우량기업부,4250,1,25,0.59,4240,4250,4225,5807,24640560,51000000000,12000000,KSQ,자동차 부품
008420,KR7008420002,문배철강,KOSPI,,2315,1,60,2.66,2245,2325,2245,45689,104416625,47465614075,20503505,STK,철강/비철금속
008470,KR7008470007,부스타,KOSDAQ,벤처기업부,3765,1,75,2.03,3690,3770,3690,3401,12714110,31644072000,8404800,KSQ,조선/기계/중공업
008490,KR7008490005,서흥,KOSPI,,19170,2,-40,-0.21,19550,19550,18940,18169,346321940,221779896210,11569113,STK,헬스케어
008500,KR7008500001,일정실업,KOSPI,,12240,1,10,0.08,12240,12590,12230,10178,126284655,14688000000,1200000,STK,의류
008600,KR7008600009,윌비스,KOSPI,,442,2,-3,-0.67,445,448,400,881008,375174832,29718329238,67236039,STK,미디어
008700,KR7008700007,아남전자,KOSPI,,1483,1,34,2.35,1449,1487,1449,235590,347448120,114376108060,77124820,STK,가전제품
008730,KR7008730004,율촌화학,KOSPI,,32800,1,1200,3.8,32000,33450,30850,120781,3900507475,813440000000,24800000,STK,정유/화학/가스
008770,KR7008770000,호텔신라,KOSPI,,49350,2,-500,-1.0,50300,50400,48850,129880,6428189775,1936894771350,39248121,STK,유통/소매
008830,KR7008830002,대동기어,KOSDAQ,중견기업부,18680,2,-390,-2.05,18810,18850,18120,150253,2773789355,167886873600,8987520,KSQ,자동차 부품
008870,KR7008870008,금비,KOSPI,,57700,1,600,1.05,57200,57900,57200,277,15956200,57700000000,1000000,STK,건자재
008930,KR7008930000,한미사이언스,KOSPI,,35200,1,400,1.15,35250,35850,34750,113106,3981456800,2407382560000,68391550,STK,지주회사
008970,KR7008970006,동양철관,KOSPI,,1456,1,70,5.05,1379,1465,1333,13126420,18700201561,231974315664,159323019,STK,철강/비철금속
009070,KR7009070004,KCTC,KOSPI,,4060,1,50,1.25,4035,4100,3990,34906,141847665,121800000000,30000000,STK,운송/항공/물류
