Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,55400,1,100,0.18,55200,56000,55100,4231658,234771094550,327947940878800,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,177000,1,2000,1.14,174800,180000,174500,1450736,257597094700,128856418605000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,335500,2,-2500,-0.74,337000,340500,334500,48991,16504187500,78507000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1067000,1,18000,1.72,1053000,1079000,1047000,25979,27771386000,75942658000000,71174000,STK
005380,KR7005380001,현대차,KOSPI,,187200,3,0,0.0,187500,188800,185500,265118,49623146250,39202710955200,209416191,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,833000,1,5000,0.6,850000,850000,813000,167017,138676301500,37969107113000,45581161,STK
005935,KR7005931001,삼성전자우,KOSPI,,45650,2,-50,-0.11,45700,46150,45550,315948,14455363200,37249243411600,815974664,STK
068270,KR7068270008,셀트리온,KOSPI,,157300,2,-100,-0.06,157800,159500,156600,201827,31926881600,35118527915900,223258283,STK
000270,KR7000270009,기아,KOSPI,,87700,1,400,0.46,87700,88500,87000,280839,24652005700,34875889826400,397672632,STK
105560,KR7105560007,KB금융,KOSPI,,82300,2,-100,-0.12,82400,82600,81400,222101,18237038950,32387389212900,393528423,STK
329180,KR7329180004,HD현대중공업,KOSPI,,352500,2,-7000,-1.95,355500,358000,347000,198085,69622795250,31292523390000,88773116,STK
035420,KR7035420009,NAVER,KOSPI,,188300,1,800,0.43,189100,190800,187600,172540,32601931450,29833688606400,158437008,STK
055550,KR7055550008,신한지주,KOSPI,,48350,1,700,1.47,47650,48400,47650,540228,25980324150,24341581463750,503445325,STK
042660,KR7042660001,한화오션,KOSPI,,77400,2,-1000,-1.28,79200,79200,76600,980543,75938183500,23716396695600,306413394,STK
012330,KR7012330007,현대모비스,KOSPI,,242500,2,-1000,-0.41,244000,247000,241500,61494,14984786500,22551310295000,92995094,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,115000,1,500,0.44,114200,115500,114100,60701,6966871800,21232354895000,184629173,STK
