index,Code,Name,Sector,MarketCap,Sales (2025),OpIncome (2025),FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,DivYield,DivPayout,Change5,Change20,Change120,Change240
679,077500,유니퀘스트,IT하드웨어/반도체,1265,,,3.17,7.13,24.81,-18.61,,,,,,1.71,41.15
558,051360,토비스,IT하드웨어/반도체,2570,7438.0,729.0,3.23,-11.6,-22.14,-15.75,4.6,20.9,19.24,24.83,-4.08,1.88,8.42
729,085670,뉴프렉스,IT하드웨어/반도체,1156,,,3.39,8.36,-14.47,-37.27,,,,,,,
549,049070,인탑스,IT하드웨어/반도체,2858,5564.0,59.0,3.62,2.09,-17.11,-37.99,14.97,2.87,-9.48,55.26,-11.97,1.2,15.99
538,047310,파워로직스,IT하드웨어/반도체,1733,,,3.95,3.84,-5.68,-40.96,,,,,,,
567,052330,코텍,IT하드웨어/반도체,1565,,,4.07,3.16,16.63,23.47,,,,,,2.64,15.14
687,078350,한양디지텍,IT하드웨어/반도체,1559,,,4.07,-4.39,-14.46,-62.04,,,,,,,
782,094170,동운아나텍,IT하드웨어/반도체,4370,,,4.24,-0.48,12.63,7.6,,,,,,0.31,5.4
1005,209640,와이제이링크,IT하드웨어/반도체,1149,,,4.26,1.38,-48.3,,,,,,,,
518,042600,새로닉스,IT하드웨어/반도체,1060,,,4.4,-1.39,-37.57,-60.74,,,,,,,
825,102120,어보브반도체,IT하드웨어/반도체,1870,,,4.68,-0.09,6.69,-33.25,,,,,,1.43,100.67
646,067310,하나마이크론,IT하드웨어/반도체,7535,15328.0,1467.0,4.99,-7.71,3.65,-52.15,20.38,9.71,22.56,37.36,-602.68,0.62,-18.52
615,061970,LB세미콘,IT하드웨어/반도체,1992,,,5.05,0.59,-22.49,-53.46,,,,,,,
844,108320,LX세미콘,IT하드웨어/반도체,8636,19063.0,1870.0,5.15,-5.18,-12.81,-28.53,5.96,12.87,2.18,11.91,10.96,4.52,29.91
756,090360,로보스타,IT하드웨어/반도체,2457,,,5.22,12.5,18.87,-19.75,,,,,,,
871,119830,아이텍,IT하드웨어/반도체,1270,,,5.23,-2.01,6.96,-23.06,,,,,,,
403,029530,신도리코,IT하드웨어/반도체,4173,,,5.34,9.67,0.98,13.42,,,,,,3.62,20.66
23,000660,SK하이닉스,IT하드웨어/반도체,1342436,847403.0,344223.0,5.37,-7.48,-3.1,4.83,4.98,31.14,28.02,46.68,36.64,1.2,8.11
247,009780,엠에스씨,IT하드웨어/반도체,1142,,,5.53,7.45,23.38,19.74,,,,,,1.69,8.89
987,200710,에이디테크놀로지,IT하드웨어/반도체,2077,,,6.04,-2.03,6.99,-62.2,,,,,,,
701,080220,제주반도체,IT하드웨어/반도체,4667,,,6.53,0.89,11.07,-39.51,,,,,,,
770,092220,KEC,IT하드웨어/반도체,1535,,,6.55,2.14,-13.46,-44.57,,,,,,,
471,036540,SFA반도체,IT하드웨어/반도체,5065,4231.0,91.0,6.57,-0.32,-14.92,-45.96,50.49,2.06,5.64,-inf,-46.34,,
584,054450,텔레칩스,IT하드웨어/반도체,2120,2065.0,118.0,7.2,-0.92,10.15,-45.31,20.2,5.06,10.66,140.82,-143.26,0.43,-2.36
836,105550,엣지파운드리,IT하드웨어/반도체,3145,,,7.68,-8.86,58.17,90.4,,,,,,,
725,084850,아이티엠반도체,IT하드웨어/반도체,2558,6942.0,209.0,8.78,-2.08,-38.29,-42.45,47.0,2.95,7.15,770.83,350.0,,
614,061040,알에프텍,IT하드웨어/반도체,1156,,,8.91,13.01,21.18,-7.45,,,,,,,
146,004710,한솔테크닉스,IT하드웨어/반도체,1489,,,11.81,11.54,7.16,-17.44,,,,,,3.23,71.77
521,042700,한미반도체,IT하드웨어/반도체,79706,8611.0,4249.0,12.7,7.84,-10.91,-39.82,20.54,52.91,54.07,66.37,154.33,0.87,45.77
1081,254490,미래반도체,IT하드웨어/반도체,2304,,,37.35,41.99,1.01,-14.01,,,,,,,
631,065350,신성델타테크,가전제품,16737,,,0.83,3.4,37.94,-26.98,,,,,,0.2,-333.33
1128,284740,쿠쿠홈시스,가전제품,4969,,,0.91,4.48,-2.64,-3.28,,,,,,4.51,18.33
226,008700,아남전자,가전제품,1118,,,1.19,0.9,13.81,-22.79,,,,,,,
1094,264850,이랜시스,가전제품,1384,,,1.67,-2.77,-14.1,-28.03,,,,,,1.09,30.3
480,037070,파세코,가전제품,1386,,,1.76,19.9,19.9,-21.43,,,,,,1.44,-11.92
637,066570,LG전자,가전제품,117171,908139.0,35504.0,2.14,-10.5,-21.66,-22.84,9.39,6.45,3.52,3.82,194.52,1.4,49.21
526,044340,위닉스,가전제품,1056,,,2.43,-9.08,0.68,-34.55,,,,,,5.08,-12.07
583,054210,이랜텍,가전제품,1277,,,5.54,0.6,-8.01,-35.01,,,,,,1.58,666.67
984,200130,콜마비앤에이치,건강기능식품,3791,6504.0,327.0,2.96,0.16,-9.42,-17.74,15.84,5.91,5.65,32.93,29.65,2.39,50.16
580,053690,한미글로벌,건설,1755,4571.0,357.0,0.19,3.82,12.18,-1.42,8.36,9.82,7.6,5.31,0.87,2.5,21.88
94,003070,코오롱글로벌,건설,1639,,,0.35,1.76,-4.73,3.1,,,,,,4.62,32.65
83,002780,진흥기업,건설,1056,,,0.83,0.0,-2.94,-24.3,,,,,,,
90,002990,금호건설,건설,1091,19550.0,350.0,1.03,15.88,2.07,-29.14,5.0,9.16,2.13,-119.25,-109.63,,
397,028100,동아지질,건설,1946,,,1.18,11.5,10.65,14.31,,,,,,3.44,61.2
462,035890,서희건설,건설,3964,,,1.53,15.15,21.39,23.74,,,,,,2.61,6.45
68,002150,도화엔지니어링,건설,2215,,,1.55,1.39,0.15,-11.93,,,,,,4.26,-179.49
531,045100,한양이엔지,건설,2905,,,1.77,0.62,-4.61,-23.33,,,,,,4.03,15.32
465,036190,금화피에스시,건설,1566,,,2.15,1.56,-4.4,-6.12,,,,,,5.36,20.98
398,028260,삼성물산,건설,198872,417531.0,30700.0,2.27,-2.42,-14.1,-22.0,8.96,6.87,-0.83,2.9,2.25,2.22,21.17
