index,Code,Name,Sector,MarketCap,Sales (2025),OpIncome (2025),FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,DivYield,DivPayout,Change5,Change20,Change120,Change240
749,089600,KT나스미디어,미디어,1745,1340.0,241.0,3.93,6.27,-1.37,-21.04,8.25,10.33,-6.03,21.11,-576.09,4.64,-125.45
460,035760,CJ ENM,미디어,12894,53863.0,1937.0,4.44,2.26,-6.67,-24.9,127.0,0.37,2.96,85.36,-101.46,,
483,037560,LG헬로비전,미디어,1881,12160.0,348.0,5.19,3.4,-7.43,-28.21,8.35,4.88,1.64,157.78,-121.19,,
1013,214150,클래시스,미용기기,41596,3492.0,1733.0,0.47,8.92,19.81,67.77,29.1,29.24,43.76,41.58,46.46,0.4,16.94
1120,278470,에이피알,미용기기,28054,9783.0,1728.0,4.03,6.54,40.53,38.7,19.67,36.89,35.35,40.83,32.25,,
753,089970,브이엠,미용기기,3062,1014.0,148.0,18.66,11.78,54.18,-24.33,19.42,12.89,44.24,-272.09,-580.0,,
738,086900,메디톡스,바이오/제약/신약개발,11933,2625.0,447.0,0.12,24.62,-5.27,19.43,32.76,8.0,14.83,120.2,131.06,0.67,50.21
965,185750,종근당,바이오/제약/신약개발,10876,16702.0,999.0,0.13,0.0,-19.44,-22.03,12.86,9.12,5.28,0.4,-23.79,1.33,13.26
765,092040,아미코젠,바이오/제약/신약개발,1865,,,0.15,-7.0,-29.81,-56.54,,,,,,,
898,128940,한미약품,바이오/제약/신약개발,30746,16118.0,2326.0,0.21,2.56,-27.71,-24.65,21.54,12.44,7.78,7.59,8.9,0.52,13.2
93,003060,에이프로젠바이오로직스,바이오/제약/신약개발,1428,,,0.28,-7.69,-12.73,-40.84,,,,,,,
399,028300,HLB,바이오/제약/신약개발,72546,,,0.36,-3.5,-17.86,-49.54,,,,,,,
22,000640,동아쏘시오홀딩스,바이오/제약/신약개발,6438,14812.0,1002.0,0.41,-0.61,-15.92,-9.14,7.77,7.63,11.1,22.05,42.71,1.68,18.59
1030,217730,강스템바이오텍,바이오/제약/신약개발,1362,,,0.41,5.88,14.62,-9.16,,,,,,,
35,001060,JW중외제약,바이오/제약/신약개발,5146,8197.0,1073.0,0.45,4.74,-17.07,-27.9,6.96,24.01,13.94,30.06,21.69,2.04,17.27
732,086450,동국제약,바이오/제약/신약개발,6894,8905.0,911.0,0.46,3.09,-11.72,-7.47,9.38,11.68,9.64,13.31,21.99,1.3,14.78
652,068270,셀트리온,바이오/제약/신약개발,353417,44980.0,13058.0,0.57,-10.62,-12.35,-9.77,33.62,5.91,26.44,165.41,149.82,0.45,38.45
0,000020,동화약품,바이오/제약/신약개발,1737,,,0.65,2.64,-17.18,-28.91,,,,,,2.89,90.45
618,063160,종근당바이오,바이오/제약/신약개발,1280,,,0.65,15.59,-9.5,-5.27,,,,,,0.43,6.31
1058,237690,에스티팜,바이오/제약/신약개발,15537,3288.0,451.0,0.65,4.05,-18.59,-13.27,39.0,8.0,20.09,62.82,17.54,0.65,29.04
715,083790,CG인바이츠,바이오/제약/신약개발,1599,,,0.73,-4.81,-18.75,-30.9,,,,,,,
840,106190,하이텍팜,바이오/제약/신약개발,1399,,,0.77,-7.0,-12.96,24.62,,,,,,0.76,7.76
900,131030,옵투스제약,바이오/제약/신약개발,1022,,,0.8,5.15,-2.16,0.0,,,,,,,
432,033270,유나이티드제약,바이오/제약/신약개발,3234,,,0.87,0.25,-5.94,-14.29,,,,,,2.27,22.62
230,008930,한미사이언스,바이오/제약/신약개발,19389,,,0.89,2.9,-31.69,-18.06,,,,,,1.06,34.72
167,005500,삼진제약,바이오/제약/신약개발,2475,,,1.02,0.0,-2.14,-9.78,,,,,,4.49,28.34
137,004310,현대약품,바이오/제약/신약개발,1099,,,1.03,9.39,-11.7,-9.61,,,,,,0.87,-166.67
829,102940,코오롱생명과학,바이오/제약/신약개발,3484,,,1.08,-3.61,50.08,25.78,,,,,,,
948,170900,동아에스티,바이오/제약/신약개발,4255,7200.0,-110.0,1.11,1.45,-38.4,-31.08,-60.83,-1.2,3.17,-56.0,-52.59,1.51,-523.66
1052,234080,JW생명과학,바이오/제약/신약개발,1797,2435.0,396.0,1.16,1.34,4.32,-9.35,6.22,14.15,9.44,10.31,-34.32,4.41,18.0
377,024850,HLB이노베이션,바이오/제약/신약개발,2972,,,1.23,0.24,-39.77,-56.49,,,,,,,
111,003520,영진약품,바이오/제약/신약개발,3712,,,1.25,2.73,-14.53,-3.79,,,,,,,
964,183490,엔지켐생명과학,바이오/제약/신약개발,1027,,,1.26,4.32,-17.09,-35.92,,,,,,,
44,001360,삼성제약,바이오/제약/신약개발,1439,,,1.53,1.59,-3.04,-9.47,,,,,,,
372,023910,대한약품,바이오/제약/신약개발,1575,,,1.55,3.35,3.55,-7.57,,,,,,3.43,15.99
1105,270520,앱트뉴로사이언스,바이오/제약/신약개발,1834,,,1.67,6.85,15.96,-43.52,,,,,,,
737,086890,이수앱지스,바이오/제약/신약개발,1948,,,1.73,6.13,-14.29,-21.55,,,,,,,
189,006280,녹십자,바이오/제약/신약개발,14222,18426.0,726.0,1.76,-2.56,-23.46,5.73,61.59,1.84,9.69,126.17,-164.55,1.23,-66.7
313,015360,INVENI,바이오/제약/신약개발,2967,,,1.96,7.85,-5.81,24.56,,,,,,8.09,82.64
