Date,Code,Name,MarketCap,Price,Sales (2024),OpIncome (2024),NetIncome (2024),Sales (2025),OpIncome (2025),NetIncome (2025),FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,FY-NetGrowth,DivYield,DivPayout
2025-4-22,339950,아이비김영,1285,2980,1071.0,165.0,165.0,1152.0,188.0,,9.37,1.88,23.29,7.56,13.94,17.21,1.01,10.64
2025-4-22,048910,대원미디어,1279,10060,2564.0,16.0,16.0,3355.0,164.0,,10.29,1.12,11.94,30.85,925.0,-862.5,,
2025-4-22,382900,범한퓨얼셀,1271,14710,362.0,24.0,24.0,588.0,42.0,,-91.94,0.77,-0.86,62.43,75.0,-266.67,,
2025-4-22,064290,인텍플러스,1258,9600,839.0,-156.0,-156.0,1146.0,41.0,,27.43,2.43,9.7,36.59,-126.28,-137.82,,
2025-4-22,361390,제노코,1226,16530,568.0,-22.0,-22.0,794.0,28.0,,61.91,3.35,5.61,39.79,-227.27,-180.65,,
2025-4-22,043610,KT지니뮤직,1200,2075,3016.0,122.0,122.0,3332.0,180.0,,11.72,0.69,6.04,10.48,47.54,-200.0,,
2025-4-22,052710,아모텍,1166,8170,2294.0,-239.0,-239.0,2730.0,80.0,,14.94,0.75,5.18,19.01,-133.47,-140.4,,
2025-4-22,228670,레이,1146,7500,798.0,-443.0,-443.0,1223.0,93.0,,31.65,1.52,4.92,53.26,-120.99,-106.32,,
2025-4-22,067000,조이시티,1098,1554,1429.0,116.0,116.0,1498.0,115.0,,19.42,1.04,5.6,4.83,-0.86,-193.65,,
2025-4-22,042510,라온시큐어,1077,1923,625.0,20.0,20.0,727.0,99.0,,12.25,1.7,16.16,16.32,395.0,141.46,,
2025-4-22,146320,비씨엔씨,1068,8240,774.0,-21.0,-21.0,945.0,75.0,,21.07,1.35,6.63,22.09,-457.14,-317.39,,
2025-4-22,228850,레이언스,1068,6420,1256.0,66.0,66.0,1292.0,93.0,,10.97,0.41,3.95,2.87,40.91,28.57,1.56,21.19
2025-4-22,413640,비아이매트릭스,1059,14460,309.0,20.0,20.0,446.0,72.0,,14.08,2.79,21.75,44.34,260.0,100.0,,
2025-4-22,088340,유라클,1058,27650,476.0,20.0,20.0,533.0,51.0,,27.21,3.4,14.58,11.97,155.0,100.0,0.36,19.08
2025-4-22,084730,팅크웨어,1048,9500,4891.0,260.0,260.0,5744.0,470.0,,5.22,0.51,10.53,17.44,80.77,81.58,,
2025-4-22,110790,크리스에프앤씨,1006,4330,3313.0,121.0,121.0,3284.0,242.0,,9.58,0.32,3.26,-0.88,100.0,-142.23,4.62,-18.64
2025-4-22,040420,정상제이엘에스,901,5790,1058.0,101.0,101.0,1071.0,108.0,,10.95,0.98,9.83,1.23,6.93,9.21,9.15,109.28
2025-4-22,260930,씨티케이,828,4560,836.0,1.0,1.0,1060.0,83.0,,8.91,0.5,6.07,26.79,8200.0,-354.05,2.19,-59.17
2025-4-22,475460,미트박스,798,14970,1103.0,31.0,31.0,1459.0,54.0,,18.04,3.97,24.28,32.28,74.19,318.18,,
2025-4-22,053450,세코닉스,781,5290,4627.0,144.0,144.0,4571.0,152.0,,6.02,0.52,9.15,-1.21,5.56,29.0,0.95,7.49
2025-4-22,222040,코스맥스엔비티,752,3700,3180.0,99.0,99.0,3492.0,201.0,,7.63,1.89,20.55,9.81,103.03,-272.22,,
2025-4-22,246960,SCL사이언스,680,8050,47.0,-37.0,-37.0,268.0,7.0,,670.83,2.6,0.48,470.21,-118.92,-102.7,,
2025-4-22,288620,에스퓨얼셀,561,8260,337.0,-41.0,-41.0,398.0,14.0,,-96.05,0.86,-0.89,18.1,-134.15,-41.67,0.61,-29.41
