Date,Code,Name,Price,FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,FY-NetGrowth,DivYield,DivPayout
2025-4-21,005930,삼성전자,55400,11.56,0.9,8.05,7.31,3.33,-4.03,2.61,29.21
2025-4-21,000660,SK하이닉스,176600,4.77,1.27,31.14,28.02,46.68,36.64,1.25,8.11
2025-4-21,373220,LG에너지솔루션,332500,187.11,3.58,1.94,7.83,-289.04,282.99,,
2025-4-21,207940,삼성바이오로직스,1072000,57.76,6.24,11.42,23.19,24.13,21.25,,
2025-4-21,005380,현대차,187300,4.1,0.44,11.1,3.43,-1.6,-1.28,6.41,26.06
