Date,Code,Name,Sector,MarketCap,Price,Sales (2024),OpIncome (2024),NetIncome (2024),Sales (2025),OpIncome (2025),NetIncome (2025),FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,FY-NetGrowth,DivYield,DivPayout
2025-5-20,035600,KG이니시스,IT소프트웨어,2449,8740,13543.0,610.0,610.0,13598.0,1084.0,,3.4,0.43,13.92,0.41,77.7,80.09,5.72,33.83
2025-5-20,035150,백산,IT소프트웨어,3087,14740,4970.0,765.0,765.0,5333.0,800.0,,4.86,1.09,24.17,7.3,4.58,-1.5,2.37,12.69
2025-5-20,214180,헥토이노베이션,IT소프트웨어,1682,12860,3195.0,489.0,489.0,3665.0,571.0,,4.91,0.72,16.28,14.71,16.77,28.45,3.81,23.28
2025-5-20,036800,나이스정보통신,IT소프트웨어,1951,19790,9751.0,399.0,399.0,10417.0,448.0,,5.03,0.49,10.67,6.83,12.28,4.77,4.09,21.15
2025-5-20,122450,KX,IT소프트웨어,1722,3850,4038.0,597.0,597.0,4448.0,726.0,,5.29,0.51,10.98,10.15,21.61,-59.69,4.94,10.43
2025-5-20,060250,NHN KCP,IT소프트웨어,3148,7350,11053.0,438.0,438.0,11857.0,459.0,,6.89,0.88,15.43,7.27,4.79,-5.52,1.36,8.88
2025-5-20,236200,슈프리마,IT소프트웨어,2528,35700,1082.0,233.0,233.0,1213.0,278.0,,8.33,0.94,12.29,12.11,19.31,-4.62,,
2025-5-20,234340,헥토파이낸셜,IT소프트웨어,1333,13480,1593.0,133.0,133.0,1818.0,168.0,,8.79,0.73,9.99,14.12,26.32,61.11,2.6,34.08
2025-5-20,286940,롯데이노베이트,IT소프트웨어,2859,18630,11804.0,257.0,257.0,12728.0,411.0,,10.93,0.65,6.04,7.83,59.92,213.89,3.76,82.84
2025-5-20,018260,삼성에스디에스,IT소프트웨어,100668,127800,138282.0,9111.0,9111.0,143817.0,9786.0,,12.12,0.99,8.47,4.0,7.41,6.03,2.27,29.64
2025-5-20,064400,LG씨엔에스,IT소프트웨어,54546,52800,59826.0,5129.0,5129.0,64913.0,5678.0,,12.4,1.99,17.47,8.5,10.7,13.37,3.17,40.0
2025-5-20,030520,한글과컴퓨터,IT소프트웨어,5355,23400,3048.0,404.0,404.0,3468.0,549.0,,12.68,1.49,12.27,13.78,35.89,209.29,1.75,71.43
2025-5-20,263860,지니언스,IT소프트웨어,1730,18150,496.0,98.0,98.0,584.0,117.0,,13.62,2.25,19.16,17.74,19.39,11.01,1.38,21.46
2025-5-20,063570,NICE인프라,IT소프트웨어,1748,4905,3387.0,187.0,187.0,3708.0,314.0,,14.18,0.75,6.42,9.48,67.91,391.67,2.55,173.61
2025-5-20,012750,에스원,IT소프트웨어,24813,66000,28047.0,2092.0,2092.0,28699.0,2202.0,,14.21,1.33,10.43,2.32,5.26,-0.11,4.09,58.05
2025-5-20,181710,NHN,IT소프트웨어,6922,19520,24561.0,-326.0,-326.0,25960.0,1154.0,,14.21,0.42,3.14,5.7,-453.99,-125.49,2.56,-12.81
2025-5-20,205100,엑셈,IT소프트웨어,1554,2055,612.0,88.0,88.0,693.0,112.0,,15.11,1.17,8.03,13.24,27.27,-1.85,,
2025-5-20,092130,이크레더블,IT소프트웨어,1788,15220,451.0,150.0,150.0,469.0,157.0,,15.4,4.4,26.24,3.99,4.67,-7.75,10.45,148.32
2025-5-20,035420,NAVER,IT소프트웨어,300713,185300,107377.0,19793.0,19793.0,118841.0,22741.0,,15.52,1.03,7.13,10.68,14.89,-2.58,0.61,9.49
2025-5-20,257720,실리콘투,IT소프트웨어,22970,41200,6915.0,1376.0,1376.0,10459.0,2027.0,,15.89,6.18,47.98,51.25,47.31,40.02,,
2025-5-20,093320,케이아이엔엑스,IT소프트웨어,3830,77200,1389.0,237.0,237.0,1626.0,233.0,,22.83,1.84,8.42,17.06,-1.69,2.19,0.78,16.2
2025-5-20,012510,더존비즈온,IT소프트웨어,18047,55600,4023.0,881.0,881.0,4369.0,1009.0,,26.09,2.63,11.97,8.6,14.53,-17.31,0.86,25.55
2025-5-20,042000,카페24,IT소프트웨어,11665,43700,3025.0,319.0,319.0,3227.0,455.0,,27.82,4.13,16.24,6.68,42.63,62.98,,
2025-5-20,094360,칩스앤미디어,IT소프트웨어,3697,16390,271.0,53.0,53.0,309.0,79.0,,32.98,3.83,13.66,14.02,49.06,8.0,0.61,20.79
2025-5-20,035720,카카오,IT소프트웨어,167577,36600,78717.0,4602.0,4602.0,79490.0,5375.0,,34.46,1.52,4.51,0.98,16.8,-402.72,0.19,54.84
2025-5-20,058970,엠로,IT소프트웨어,6648,50100,795.0,86.0,86.0,921.0,76.0,,97.85,6.46,6.84,15.85,-11.63,-66.13,,
2025-5-20,047560,이스트소프트,IT소프트웨어,2464,20150,1025.0,-135.0,-135.0,1238.0,20.0,,292.03,3.39,1.26,20.78,-114.81,-100.68,,
2025-5-20,290550,디케이티,IT하드웨어/반도체,1396,6690,4034.0,231.0,231.0,4949.0,307.0,,4.66,0.73,15.69,22.68,32.9,6.69,,
2025-5-20,000660,SK하이닉스,IT하드웨어/반도체,1485124,201500,661930.0,234673.0,234673.0,845009.0,359707.0,,4.92,1.39,33.69,27.66,53.28,50.83,1.09,8.11
2025-5-20,051360,토비스,IT하드웨어/반도체,2599,16440,6238.0,584.0,584.0,7017.0,677.0,,4.96,0.88,20.11,12.49,15.92,-7.67,1.82,8.42
2025-5-20,084730,팅크웨어,IT하드웨어/반도체,1077,9150,4891.0,260.0,260.0,5744.0,470.0,,5.03,0.49,10.53,17.44,80.77,81.58,,
2025-5-20,108320,LX세미콘,IT하드웨어/반도체,10100,59600,18656.0,1671.0,1671.0,19068.0,1927.0,,6.62,0.82,12.99,2.21,15.32,12.26,4.03,29.91
2025-5-20,051370,인터플렉스,IT하드웨어/반도체,2008,8130,4975.0,344.0,344.0,4914.0,292.0,,6.65,0.61,9.62,-1.23,-15.12,-48.28,,
2025-5-20,000990,DB하이텍,IT하드웨어/반도체,17648,39300,11312.0,1908.0,1908.0,12564.0,2274.0,,6.84,0.75,12.33,11.07,19.18,11.42,3.13,23.86
2025-5-20,060720,KH바텍,IT하드웨어/반도체,2315,9410,3110.0,219.0,219.0,3823.0,306.0,,7.48,0.72,10.84,22.93,39.73,39.44,3.51,36.67
2025-5-20,011070,LG이노텍,IT하드웨어/반도체,35547,143100,212008.0,7060.0,7060.0,212965.0,6618.0,,7.77,0.59,7.84,0.45,-6.26,-2.98,1.46,11.01
2025-5-20,090460,비에이치,IT하드웨어/반도체,4649,12710,17544.0,871.0,871.0,17632.0,627.0,,7.86,0.53,7.54,0.5,-28.01,-22.29,1.97,12.85
2025-5-20,093520,매커스,IT하드웨어/반도체,1842,12120,1996.0,269.0,269.0,2330.0,286.0,,8.55,1.16,18.51,16.73,6.32,13.86,1.65,16.13
2025-5-20,033240,자화전자,IT하드웨어/반도체,2889,11880,6811.0,450.0,450.0,6642.0,397.0,,8.6,0.59,7.36,-2.48,-11.78,86.75,,
2025-5-20,248070,솔루엠,IT하드웨어/반도체,8144,16120,15944.0,691.0,691.0,18356.0,1172.0,,9.17,1.41,18.1,15.13,69.61,125.73,,
2025-5-20,195870,해성디에스,IT하드웨어/반도체,3442,18800,6030.0,569.0,569.0,5959.0,370.0,,9.27,0.55,6.08,-1.18,-34.97,-41.23,4.26,23.17
2025-5-20,122990,와이솔,IT하드웨어/반도체,1820,6420,3750.0,5.0,5.0,3820.0,120.0,,9.28,0.49,5.3,1.87,2300.0,71.82,7.79,127.23
2025-5-20,007810,코리아써키트,IT하드웨어/반도체,2614,10020,14070.0,-332.0,-332.0,14422.0,343.0,,9.36,0.67,7.44,2.5,-203.31,-125.66,,
2025-5-20,001820,삼화콘덴서,IT하드웨어/반도체,2629,24250,2954.0,178.0,178.0,3200.0,280.0,,9.7,0.87,9.38,8.33,57.3,18.18,2.06,23.81
2025-5-20,052710,아모텍,IT하드웨어/반도체,1252,7960,2294.0,-239.0,-239.0,2884.0,128.0,,9.7,0.71,7.67,25.72,-153.56,-160.61,,
2025-5-20,091700,파트론,IT하드웨어/반도체,3824,6580,14864.0,617.0,617.0,13640.0,399.0,,11.54,0.66,6.36,-8.23,-35.33,-39.0,4.56,33.04
2025-5-20,005930,삼성전자,IT하드웨어/반도체,3421550,56000,3008709.0,327260.0,327260.0,3212289.0,323576.0,,11.7,0.91,8.0,6.77,-1.13,-4.13,2.58,29.21
2025-5-20,009150,삼성전기,IT하드웨어/반도체,92022,119500,102941.0,7350.0,7350.0,110676.0,8739.0,,13.37,0.98,7.64,7.51,18.9,2.28,1.51,20.57
2025-5-20,005680,삼영전자,IT하드웨어/반도체,2134,10680,1630.0,73.0,73.0,1690.0,96.0,,13.96,0.39,2.86,3.68,31.51,37.84,2.81,54.05
2025-5-20,049070,인탑스,IT하드웨어/반도체,2893,15650,6147.0,38.0,38.0,5564.0,59.0,,14.1,0.38,2.87,-9.48,55.26,-11.97,1.28,15.99
2025-5-20,007660,이수페타시스,IT하드웨어/반도체,30941,40600,8369.0,1019.0,1019.0,10445.0,1892.0,,19.19,4.83,31.75,24.81,85.67,102.57,0.36,12.84
2025-5-20,218410,RFHIC,IT하드웨어/반도체,4271,15590,1149.0,15.0,15.0,1606.0,220.0,,20.65,1.19,6.29,39.77,1366.67,5.08,0.64,10.32
2025-5-20,054450,텔레칩스,IT하드웨어/반도체,2171,13630,1866.0,49.0,49.0,2049.0,105.0,,23.87,0.97,4.23,9.81,114.29,-133.68,0.44,-2.36
2025-5-20,084850,아이티엠반도체,IT하드웨어/반도체,3003,11440,6479.0,24.0,24.0,6942.0,209.0,,47.67,1.09,2.95,7.15,770.83,350.0,,
2025-5-20,033640,네패스,IT하드웨어/반도체,1817,7750,4643.0,34.0,34.0,5048.0,152.0,,298.08,0.97,0.41,8.72,347.06,-100.76,,
2025-5-20,192400,쿠쿠홀딩스,가전제품,9975,29850,8338.0,1032.0,1032.0,8950.0,1080.0,,7.37,0.8,11.63,7.34,4.65,5.11,4.02,31.08
2025-5-20,066570,LG전자,가전제품,117662,70400,877282.0,34197.0,34197.0,905427.0,33272.0,,9.93,0.57,5.94,3.21,-2.7,160.08,1.42,49.21
2025-5-20,210980,SK디앤디,건설,1653,8510,8709.0,537.0,537.0,4759.0,1383.0,,1.53,0.19,14.87,-45.36,157.54,134.16,7.05,26.57
2025-5-20,002990,금호건설,건설,1059,2830,19142.0,-1818.0,-1818.0,19550.0,350.0,,4.8,0.4,9.16,2.13,-119.25,-109.63,,
2025-5-20,047040,대우건설,건설,15045,3790,105036.0,4031.0,4031.0,85706.0,4636.0,,6.13,0.34,5.79,-18.4,15.01,10.87,,
2025-5-20,028050,삼성E&A,건설,40082,20450,99666.0,9716.0,9716.0,95265.0,7183.0,,6.59,0.84,13.55,-4.42,-26.07,-8.64,3.23,17.09
2025-5-20,006360,GS건설,건설,15986,19330,128638.0,2860.0,2860.0,125505.0,4059.0,,7.78,0.36,4.71,-2.44,41.92,-19.17,1.55,10.46
2025-5-20,053690,한미글로벌,건설,1816,16330,4248.0,339.0,339.0,4571.0,357.0,,8.52,0.78,9.82,7.6,5.31,0.87,2.45,21.88
2025-5-20,000720,현대건설,건설,48662,46950,326703.0,-12634.0,-12634.0,303895.0,9943.0,,8.64,0.61,7.33,-6.98,-178.7,-205.86,1.28,-40.0
2025-5-20,028260,삼성물산,건설,210430,123300,421032.0,29834.0,29834.0,413850.0,30867.0,,9.15,0.63,7.33,-1.71,3.46,6.66,2.11,21.17
2025-5-20,000210,DL,건설,8130,39400,56154.0,4125.0,4125.0,56069.0,4333.0,,13.13,0.21,1.64,-0.15,5.04,-33.23,2.54,25.34
2025-5-20,010780,아이에스동서,건설,5880,18350,15146.0,1697.0,1697.0,12057.0,1230.0,,23.5,0.41,1.75,-20.39,-27.52,-115.11,5.45,-20.37
2025-5-20,183190,아세아시멘트,건자재,4186,11580,11103.0,1408.0,1408.0,10710.0,1410.0,,5.16,0.36,7.32,-3.54,0.14,4.87,2.25,12.31
2025-5-20,108670,LX하우시스,건자재,2654,29000,35720.0,975.0,975.0,34500.0,755.0,,9.51,0.32,3.45,-3.42,-22.56,-31.15,3.45,22.57
2025-5-20,002380,KCC,건자재,23504,259000,66588.0,4711.0,4711.0,67731.0,4614.0,,9.52,0.38,4.5,1.72,-2.06,-17.59,3.86,28.61
